"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.48","1245","$204.96","1116","$143.76","144"
"Alaska","$287.83","293","$257.26","351","$375.82","27"
"Arizona","$301.53","2206","$209.24","1926","$192.5","257"
"Arkansas","$352","683","$184.87","636","$129.02","128"
"California","$246.08","13716","$191.9","14958","$191.83","887"
"Colorado","$236.67","2581","$196.31","2160","$227.88","154"
"Connecticut","$345.28","1462","$274.41","1551","$249.46","99"
"Delaware","$369.98","400","$228.59","323","$209.72","38"
"District of Columbia","$347.6","506","$291.53","422","$214.01","45"
"Florida","$304.43","7671","$218.32","6286","$151.98","589"
"Georgia","$329.05","3603","$215.32","2662","$153.75","255"
"Hawaii","$314.14","373","$275.59","412","$165.55","28"
"Idaho","$275.07","353","$252.99","521","$139.21","27"
"Illinois","$356.69","4619","$285.97","4228","$189.75","382"
"Indiana","$334.72","1932","$210.09","1719","$157.29","276"
"Iowa","$369.78","792","$290.26","776","$247.1","110"
"Kansas","$350.64","959","$261.72","763","$118.41","121"
"Kentucky","$339.6","1189","$182.4","1159","$125.42","154"
"Louisiana","$370.06","1235","$244.38","1038","$146.51","262"
"Maine","$317.83","516","$258.22","504","$274.25","58"
"Montana","$268.4","637","$251.15","308","$660.67","25"
"Nebraska","$344.58","587","$251.13","579","$140.02","68"
"Nevada","$268.17","1022","$226.96","1098","$243.46","66"
"New Hampshire","$359.78","487","$291.26","518","$677.38","41"
"New Jersey","$352.14","2526","$290.73","3268","$231.78","216"
"New Mexico","$291.15","638","$200.99","515","$84.95","48"
"New York","$349.06","6518","$266.6","6787","$205.54","527"
"North Carolina","$352.72","3260","$245","2287","$150.93","254"
"North Dakota","$390.69","168","$351.03","242","$334.13","18"
"Ohio","$336.35","3496","$216.22","3367","$164.2","452"
"Oklahoma","$366.26","868","$234.58","818","$120.2","155"
"Oregon","$210","1810","$185.92","1540","$165.75","75"
"Maryland","$374.81","2280","$250.68","1843","$188.84","169"
"Massachusetts","$350.51","3277","$294.11","2869","$220.03","243"
"Michigan","$295.05","3387","$278.1","2929","$274.53","249"
"Minnesota","$367.46","1966","$276.57","1862","$183.45","108"
"Mississippi","$340.94","484","$145.92","418","$140.95","119"
"Missouri","$368.47","1810","$244.14","1568","$144.04","236"
"Pennsylvania","$368.36","4468","$267.27","3820","$195.57","420"
"Rhode Island","$329.98","592","$258.5","415","$208.36","35"
"South Carolina","$343.87","1347","$201.81","1074","$186.91","139"
"South Dakota","$387.6","179","$355.12","198","$124.17","21"
"Tennessee","$355.63","1809","$224.75","1457","$187.96","175"
"Texas","$339.54","6872","$234","6755","$143.22","979"
"Utah","$290.89","783","$240.96","818","$188.53","50"
"Vermont","$376.52","312","$320.23","272","$190.36","26"
"Virginia","$370.79","2818","$288.24","2341","$224.14","238"
"Washington","$233.54","2667","$190.45","2725","$141.86","123"
"West Virginia","$354.54","440","$214.48","432","$156.1","48"
"Wisconsin","$355.16","1846","$271.42","1646","$240.36","142"
"Wyoming","$349.95","107","$361.55","153","$161.3","11"
