"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.9","1272","$205.16","1143","$142.72","146"
"Alaska","$288.19","300","$255.52","360","$373.01","28"
"Arizona","$302.32","2240","$208.17","1959","$189.81","264"
"Arkansas","$351.54","689","$183.48","649","$129.02","128"
"California","$245.9","13928","$192.64","15241","$190.63","904"
"Colorado","$236.91","2618","$196.81","2204","$233.09","155"
"Connecticut","$345.04","1486","$272.52","1577","$251.03","100"
"Delaware","$369.76","405","$229.13","324","$209.72","38"
"District of Columbia","$347.23","515","$292","427","$209.83","47"
"Florida","$304.02","7810","$217.33","6419","$152.69","597"
"Georgia","$328.42","3655","$214.96","2729","$153.02","261"
"Hawaii","$314.49","378","$266.85","423","$165.55","28"
"Idaho","$276.55","361","$252.72","527","$136.89","28"
"Illinois","$356.26","4678","$286.06","4300","$189.41","386"
"Indiana","$334.59","1961","$210.25","1770","$156.68","278"
"Iowa","$368.58","805","$289.72","792","$247.1","110"
"Kansas","$350.41","970","$261.37","776","$120.26","123"
"Kentucky","$339.42","1206","$181.59","1187","$124.69","155"
"Louisiana","$368.81","1262","$244.52","1052","$146.16","267"
"Maine","$317.31","518","$258.01","516","$274.25","58"
"Montana","$268.05","641","$252.43","311","$645.6","26"
"Nebraska","$344.21","597","$251.17","586","$136.34","70"
"Nevada","$268.21","1034","$229.15","1117","$244.08","67"
"New Hampshire","$359.49","491","$291.42","524","$677.38","41"
"New Jersey","$351.65","2554","$290.23","3312","$224.99","221"
"New Mexico","$290.52","648","$200.74","521","$86.37","51"
"New York","$348.75","6593","$266.27","6897","$205.18","532"
"North Carolina","$351.85","3328","$244.49","2335","$150.56","257"
"North Dakota","$400.39","175","$350.39","245","$334.13","18"
"Ohio","$336.14","3546","$216.59","3413","$163.18","458"
"Oklahoma","$367.34","883","$234.46","828","$119.23","158"
"Oregon","$209.73","1834","$185.71","1570","$163.84","77"
"Maryland","$373.95","2319","$249.46","1885","$188.3","170"
"Massachusetts","$350.92","3321","$294.01","2925","$219","246"
"Michigan","$295.37","3440","$277.16","2980","$275.29","253"
"Minnesota","$366.57","1996","$276.76","1897","$183.45","108"
"Mississippi","$339.98","495","$145.7","429","$140.57","120"
"Missouri","$367.77","1844","$243.18","1604","$144.16","246"
"Pennsylvania","$367.74","4538","$267.39","3896","$196.46","428"
"Rhode Island","$330.38","597","$259.05","423","$205.57","36"
"South Carolina","$342.53","1368","$200.15","1093","$186.91","139"
"South Dakota","$382.94","183","$351.85","203","$123.94","22"
"Tennessee","$355.05","1835","$224.69","1491","$187.46","176"
"Texas","$338.93","6967","$233.54","6862","$142.58","992"
"Utah","$289.81","796","$239.9","832","$201.13","52"
"Vermont","$376.44","314","$321.01","277","$190.36","26"
"Virginia","$370.01","2866","$288.54","2387","$222","241"
"Washington","$233.35","2691","$190.39","2777","$142.74","126"
"West Virginia","$354.83","450","$213.86","435","$156.1","48"
"Wisconsin","$354.78","1866","$271.99","1673","$239.18","144"
"Wyoming","$350.72","108","$358.86","157","$161.3","11"
