"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.93","1330","$204.36","1188","$148.39","152"
"Alaska","$288.79","316","$261.6","384","$407.31","32"
"Arizona","$300.5","2314","$209.02","2044","$185.41","274"
"Arkansas","$349.77","720","$183.25","686","$126.2","134"
"California","$245.43","14461","$192.01","15971","$189.01","944"
"Colorado","$237.07","2710","$196.47","2302","$231.56","158"
"Connecticut","$343.68","1535","$271.58","1658","$254.53","103"
"Delaware","$368.15","420","$226.58","349","$204.86","39"
"District of Columbia","$344.74","547","$291.78","457","$209.83","47"
"Florida","$302.65","8149","$217.81","6750","$151.85","615"
"Georgia","$327.25","3816","$215.55","2880","$146.68","271"
"Hawaii","$313.2","389","$274.83","444","$165.55","28"
"Idaho","$275.88","375","$249.91","558","$136.89","28"
"Illinois","$356.12","4844","$284.88","4497","$191.04","398"
"Indiana","$333.1","2048","$210.75","1867","$155.98","288"
"Iowa","$366.64","834","$290.3","834","$247.1","110"
"Kansas","$350.17","1000","$260.16","819","$120.12","126"
"Kentucky","$338.71","1262","$182.32","1247","$124.06","160"
"Louisiana","$367.24","1316","$245.37","1117","$143.37","279"
"Maine","$317.38","535","$247.98","547","$272.95","59"
"Montana","$267.6","662","$252.01","316","$632.31","27"
"Nebraska","$343.87","612","$250.15","608","$133.37","73"
"Nevada","$268.1","1065","$228.49","1182","$233.41","72"
"New Hampshire","$358.48","513","$290.27","548","$643","44"
"New Jersey","$350.06","2649","$288.41","3470","$223.01","224"
"New Mexico","$290.36","671","$201.64","544","$93.19","55"
"New York","$347.35","6804","$266.01","7251","$205.21","547"
"North Carolina","$350.12","3464","$244.5","2466","$149.55","271"
"North Dakota","$398.95","179","$363.1","261","$335.8","20"
"Ohio","$335.53","3662","$217","3589","$162.28","478"
"Oklahoma","$365.32","911","$234.07","883","$118.22","163"
"Oregon","$208.99","1895","$185.09","1631","$162.91","79"
"Maryland","$371.35","2419","$250.79","1991","$189.57","176"
"Massachusetts","$350.6","3474","$292.83","3076","$221.94","250"
"Michigan","$293.38","3552","$277.25","3139","$271.79","259"
"Minnesota","$359.2","2065","$278.68","2001","$181.2","110"
"Mississippi","$336.29","521","$146.17","451","$146.82","123"
"Missouri","$363.72","1910","$244.11","1718","$146.62","263"
"Pennsylvania","$367.2","4720","$267.12","4094","$192.23","439"
"Rhode Island","$324.69","622","$255.92","443","$199.96","39"
"South Carolina","$343.39","1422","$201.27","1144","$188.56","145"
"South Dakota","$378.98","188","$351.75","214","$123.94","22"
"Tennessee","$353.51","1920","$224.44","1572","$187.33","182"
"Texas","$338.24","7189","$232.7","7175","$144.48","1029"
"Utah","$289.46","821","$238.51","879","$204.58","56"
"Vermont","$376.42","320","$319.57","291","$190.36","26"
"Virginia","$368.57","2988","$291.48","2525","$221.28","246"
"Washington","$232.3","2821","$189.9","2897","$138.79","135"
"West Virginia","$354.47","470","$216.14","455","$155.8","49"
"Wisconsin","$353.57","1928","$271.53","1768","$237.56","145"
"Wyoming","$351.78","110","$359.79","158","$161.3","12"
