"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$341.12","1189","$204.67","1078","$146.94","139"
"Alaska","$287.59","286","$256.51","339","$388.58","26"
"Arizona","$302.82","2138","$209.06","1838","$190.3","248"
"Arkansas","$352.4","654","$183.38","613","$129.26","127"
"California","$246.89","13309","$192.94","14394","$191.8","854"
"Colorado","$237.44","2496","$196.59","2064","$224.32","148"
"Connecticut","$346.27","1429","$275.79","1501","$252.31","95"
"Delaware","$372.03","387","$225.13","314","$206.61","36"
"District of Columbia","$347.68","488","$291.78","401","$216.65","43"
"Florida","$304.81","7385","$219.01","6024","$152.02","566"
"Georgia","$329.44","3483","$214.72","2566","$152.24","247"
"Hawaii","$315.09","362","$276.5","397","$167.62","27"
"Idaho","$275.81","344","$256.74","507","$140.27","26"
"Illinois","$357.69","4478","$286.73","4087","$188.46","371"
"Indiana","$334.48","1872","$209.11","1665","$166.46","267"
"Iowa","$371.01","765","$292.44","744","$247.69","107"
"Kansas","$352.28","928","$261.78","730","$121.53","117"
"Kentucky","$339.28","1148","$183.11","1117","$125.1","145"
"Louisiana","$370.58","1196","$244.26","991","$148.13","254"
"Maine","$319.49","500","$258.81","481","$216.72","56"
"Montana","$269","627","$250.94","296","$660.67","25"
"Nebraska","$345.25","571","$250.82","563","$140.63","67"
"Nevada","$268.07","987","$228.49","1056","$252.49","63"
"New Hampshire","$361.02","478","$289.88","499","$677.38","41"
"New Jersey","$353.2","2453","$292.03","3159","$233.2","214"
"New Mexico","$291.43","627","$214.53","488","$75.24","46"
"New York","$350.56","6348","$266.76","6566","$204.89","519"
"North Carolina","$354.14","3145","$246.64","2188","$151.32","248"
"North Dakota","$401.42","162","$354.34","235","$347.51","17"
"Ohio","$335.68","3387","$214.86","3222","$165.15","438"
"Oklahoma","$364.64","844","$228.42","774","$118.2","150"
"Oregon","$210.92","1777","$187.24","1492","$167.35","71"
"Maryland","$376.72","2210","$250.14","1772","$190.34","165"
"Massachusetts","$350.74","3170","$295.11","2768","$217.6","238"
"Michigan","$295.44","3326","$272.82","2825","$229.02","244"
"Minnesota","$367.76","1905","$277.29","1778","$179.7","104"
"Mississippi","$343.79","467","$147.31","405","$141.71","117"
"Missouri","$368.32","1763","$244.2","1484","$150.66","223"
"Pennsylvania","$369.19","4342","$267.65","3692","$193.29","405"
"Rhode Island","$332.04","579","$259.36","402","$201.75","34"
"South Carolina","$345.37","1301","$202.27","1032","$187.5","137"
"South Dakota","$388.48","178","$354.81","189","$124.17","21"
"Tennessee","$356.62","1744","$226.64","1417","$190.84","171"
"Texas","$340.44","6686","$234.9","6493","$143.26","950"
"Utah","$291.52","757","$242.63","787","$187.19","48"
"Vermont","$377.03","299","$319.78","262","$190.36","26"
"Virginia","$371.93","2736","$287.97","2238","$226.02","228"
"Washington","$234.24","2603","$191.26","2635","$144.89","120"
"West Virginia","$359.27","426","$215.12","418","$160.12","45"
"Wisconsin","$356.65","1796","$269.26","1581","$242.49","140"
"Wyoming","$353.67","101","$374.73","147","$161.3","11"
