"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.86","1204","$204.48","1083","$145.88","141"
"Alaska","$287.59","286","$256.78","343","$388.58","26"
"Arizona","$302.52","2148","$208.67","1857","$193.93","251"
"Arkansas","$352.22","659","$183.17","619","$129.26","127"
"California","$246.79","13392","$192.92","14521","$191.98","863"
"Colorado","$237.5","2508","$196.47","2087","$226.28","150"
"Connecticut","$346.15","1438","$275.51","1510","$252.31","95"
"Delaware","$372.35","388","$226.24","315","$206.61","36"
"District of Columbia","$346.82","491","$291.02","407","$214.35","44"
"Florida","$304.82","7445","$218.75","6068","$152.72","577"
"Georgia","$329.32","3503","$214.84","2594","$152.82","249"
"Hawaii","$314.67","365","$276.75","402","$167.62","27"
"Idaho","$275.34","347","$256.26","509","$140.27","26"
"Illinois","$357.41","4506","$286.73","4116","$189.87","376"
"Indiana","$334.86","1882","$209.8","1675","$158.28","269"
"Iowa","$370.67","767","$292.42","747","$247.69","107"
"Kansas","$351.58","936","$262.21","737","$121.53","117"
"Kentucky","$340.74","1155","$183.18","1128","$125.28","146"
"Louisiana","$370.21","1207","$244.86","997","$147.94","257"
"Maine","$319.41","501","$259.17","487","$216.72","56"
"Montana","$268.75","629","$249.82","298","$660.67","25"
"Nebraska","$345.01","574","$250.38","564","$140.02","68"
"Nevada","$267.82","996","$227.81","1064","$252.49","63"
"New Hampshire","$361.02","478","$290.22","502","$677.38","41"
"New Jersey","$352.68","2469","$291.87","3175","$233.2","214"
"New Mexico","$291.31","629","$213.78","492","$75.24","46"
"New York","$350.1","6384","$266.56","6599","$205.8","522"
"North Carolina","$353.84","3176","$245.79","2210","$151.32","248"
"North Dakota","$401.73","163","$354.34","235","$347.51","17"
"Ohio","$335.8","3410","$215.19","3247","$165.02","439"
"Oklahoma","$364.77","851","$229.7","783","$121.24","151"
"Oregon","$210.79","1782","$186.3","1506","$165.54","72"
"Maryland","$376.53","2229","$249.57","1786","$190.34","165"
"Massachusetts","$350.22","3196","$294.3","2796","$217.88","239"
"Michigan","$295.32","3337","$272.57","2843","$229.02","244"
"Minnesota","$367.56","1916","$276.99","1792","$179.7","104"
"Mississippi","$343.54","471","$147.09","406","$141.39","118"
"Missouri","$368.2","1775","$244.88","1501","$150.52","224"
"Pennsylvania","$369.13","4373","$267.53","3701","$193.44","411"
"Rhode Island","$331.58","581","$258.86","406","$201.75","34"
"South Carolina","$345.06","1311","$202.55","1043","$187.5","137"
"South Dakota","$388.48","178","$353.75","192","$124.17","21"
"Tennessee","$356.58","1757","$226.72","1423","$190.39","172"
"Texas","$340.31","6724","$234.43","6544","$142.83","954"
"Utah","$291.26","763","$242.66","790","$187.19","48"
"Vermont","$376.97","301","$319.68","263","$190.36","26"
"Virginia","$371.6","2750","$287.73","2252","$226.79","229"
"Washington","$234.21","2615","$190.94","2653","$143.67","121"
"West Virginia","$359.56","427","$215.08","419","$160.12","45"
"Wisconsin","$356.36","1803","$270.73","1590","$242.49","140"
"Wyoming","$354.72","103","$370.55","148","$161.3","11"
