"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","339","1461","204.49","1359","I feel bad for these guys -->","174"
"Alaska","290.95","339","260.98","446","I feel bad for these guys -->","37"
"Arizona","300.6","2511","210.53","2272","I feel bad for these guys -->","297"
"Arkansas","343.89","809","205.83","778","I feel bad for these guys -->","141"
"California","244.8","15794","190.7","17956","I feel bad for these guys -->","1032"
"Colorado","236.93","3001","196","2647","I feel bad for these guys -->","172"
"Connecticut","340.22","1736","270.16","1918","I feel bad for these guys -->","116"
"Delaware","363.53","470","234.8","407","I feel bad for these guys -->","39"
"District of Columbia","348.88","624","282.61","546","I feel bad for these guys -->","48"
"Florida","301.57","8964","217.72","7695","I feel bad for these guys -->","663"
"Georgia","325.62","4210","217.3","3217","I feel bad for these guys -->","290"
"Hawaii","310.97","428","266.89","486","I feel bad for these guys -->","29"
"Idaho","276.07","422","247.18","630","I feel bad for these guys -->","35"
"Illinois","355.77","5346","283.22","5181","I feel bad for these guys -->","431"
"Indiana","332.25","2268","213.81","2116","I feel bad for these guys -->","315"
"Iowa","364.5","929","288.45","962","I feel bad for these guys -->","115"
"Kansas","351.07","1111","261.3","936","I feel bad for these guys -->","133"
"Kentucky","339.41","1403","173.78","1409","I feel bad for these guys -->","174"
"Louisiana","364.74","1444","241.04","1272","I feel bad for these guys -->","302"
"Maine","315.23","590","244.19","615","I feel bad for these guys -->","59"
"Montana","265.88","716","241.87","352","I feel bad for these guys -->","31"
"Nebraska","340.92","672","247.56","679","I feel bad for these guys -->","74"
"Nevada","267.47","1176","229.15","1331","I feel bad for these guys -->","78"
"New Hampshire","355.83","563","296.61","624","I feel bad for these guys -->","51"
"New Jersey","347.71","2918","287.58","3938","I feel bad for these guys -->","245"
"New Mexico","288.48","751","213.97","615","I feel bad for these guys -->","61"
"New York","345.78","7495","264.56","8182","I feel bad for these guys -->","597"
"North Carolina","347.35","3866","245.63","2828","I feel bad for these guys -->","299"
"North Dakota","397.2","201","341.75","305","I feel bad for these guys -->","22"
"Ohio","333.64","4037","217.59","4023","I feel bad for these guys -->","526"
"Oklahoma","362.99","1030","234.44","1001","I feel bad for these guys -->","182"
"Oregon","207.27","2087","181.06","1887","I feel bad for these guys -->","89"
"Maryland","368.28","2711","255.69","2297","I feel bad for these guys -->","188"
"Massachusetts","348.45","3839","287.78","3540","I feel bad for these guys -->","276"
"Michigan","290.55","3853","271.22","3506","I feel bad for these guys -->","286"
"Minnesota","353.52","2265","274.69","2307","I feel bad for these guys -->","121"
"Mississippi","337.62","577","147.11","510","I feel bad for these guys -->","136"
"Missouri","352.88","2114","246.03","1980","I feel bad for these guys -->","283"
"Pennsylvania","364.03","5272","269.04","4636","I feel bad for these guys -->","484"
"Rhode Island","318.28","685","260.23","510","I feel bad for these guys -->","46"
"South Carolina","339.8","1589","203.49","1315","I feel bad for these guys -->","159"
"South Dakota","377.67","212","348.11","234","I feel bad for these guys -->","25"
"Tennessee","351.24","2123","226.49","1781","I feel bad for these guys -->","206"
"Texas","336.61","7838","233.15","8017","I feel bad for these guys -->","1104"
"Utah","290.99","906","237.36","991","I feel bad for these guys -->","58"
"Vermont","372.57","345","311.6","343","I feel bad for these guys -->","31"
"Virginia","367.11","3311","293.03","2893","I feel bad for these guys -->","268"
"Washington","233.37","3181","189.66","3345","I feel bad for these guys -->","148"
"West Virginia","356.61","523","219.53","512","I feel bad for these guys -->","58"
"Wisconsin","351.41","2132","272.93","2057","I feel bad for these guys -->","158"
"Wyoming","326.51","122","354.16","179","I feel bad for these guys -->","12"
