"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.25","1147","$202.86","1038","$147.52","134"
"Alaska","$286.78","281","$251.87","325","$388.58","26"
"Arizona","$302.89","2099","$209.62","1785","$195.16","239"
"Arkansas","$357.49","632","$183.01","594","$126.75","125"
"California","$247.34","13043","$192.96","13958","$192.2","841"
"Colorado","$238.01","2410","$197.54","1994","$226.03","146"
"Connecticut","$346.98","1393","$274.24","1460","$252.31","95"
"Delaware","$371.64","377","$227.83","301","$206.61","36"
"District of Columbia","$349.39","481","$294.39","390","$208.53","41"
"Florida","$305.33","7171","$219.85","5838","$152.87","551"
"Georgia","$330.84","3381","$214.08","2481","$151.92","240"
"Hawaii","$307.96","353","$274.75","384","$167.62","27"
"Idaho","$275.6","335","$256.05","493","$129.39","24"
"Illinois","$358.21","4369","$287.34","3967","$177.37","364"
"Indiana","$334.48","1836","$208.81","1604","$168.44","262"
"Iowa","$371.14","755","$291.68","719","$247.69","107"
"Kansas","$352.01","901","$261.8","710","$114.26","114"
"Kentucky","$337.68","1106","$181.22","1073","$124.52","142"
"Louisiana","$372.81","1171","$242.59","959","$149.38","248"
"Maine","$319.39","483","$258.65","469","$213.48","53"
"Montana","$269.82","616","$257.28","286","$704.89","23"
"Nebraska","$348.05","557","$249.07","554","$141.76","65"
"Nevada","$268.33","965","$217.43","1024","$252.49","63"
"New Hampshire","$369.88","464","$289.25","485","$677.38","41"
"New Jersey","$353.13","2401","$291.83","3060","$231.68","207"
"New Mexico","$290.9","615","$217.71","475","$69.76","43"
"New York","$351.22","6229","$267.6","6382","$189.28","508"
"North Carolina","$354.23","3048","$247.32","2112","$151.27","246"
"North Dakota","$401.98","157","$353.27","229","$363.11","16"
"Ohio","$336.08","3314","$213.55","3119","$166.2","427"
"Oklahoma","$365.24","827","$227.11","748","$116.1","146"
"Oregon","$211.72","1735","$188.47","1453","$171.08","69"
"Maryland","$379.28","2152","$251.24","1720","$191.01","163"
"Massachusetts","$351.83","3108","$295.78","2695","$218.96","233"
"Michigan","$297.4","3253","$273.89","2763","$226.38","240"
"Minnesota","$368.92","1852","$277.93","1712","$179.7","104"
"Mississippi","$339.45","452","$146.76","395","$140","113"
"Missouri","$367.57","1714","$242.92","1418","$149.4","217"
"Pennsylvania","$370.1","4226","$266.82","3583","$190.52","394"
"Rhode Island","$332.34","571","$259.49","388","$201.75","34"
"South Carolina","$345.71","1272","$203.06","1000","$185.99","132"
"South Dakota","$387.89","177","$352.93","185","$124.17","21"
"Tennessee","$356.15","1697","$227.41","1369","$192.43","168"
"Texas","$341.61","6527","$235.33","6299","$144.35","934"
"Utah","$292.86","736","$234.33","762","$189.78","47"
"Vermont","$376.96","293","$320.6","257","$187.64","25"
"Virginia","$372.81","2668","$288","2171","$225.82","226"
"Washington","$234.72","2531","$191.5","2572","$146.32","117"
"West Virginia","$361.32","405","$216.72","405","$160.38","43"
"Wisconsin","$357.01","1758","$269.76","1520","$238.37","138"
"Wyoming","$352.41","97","$378.46","144","$161.3","11"
