"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.1","1142","$202.72","1036","$146.33","133"
"Alaska","$286.78","281","$251.87","324","$388.58","26"
"Arizona","$302.94","2095","$209.42","1778","$195.16","239"
"Arkansas","$357.73","630","$182.91","593","$126.75","125"
"California","$247.56","12996","$193.02","13920","$192.2","841"
"Colorado","$237.88","2403","$197.59","1988","$226.22","145"
"Connecticut","$346.98","1390","$274.01","1458","$252.31","95"
"Delaware","$371.64","377","$228.71","296","$206.61","36"
"District of Columbia","$350.61","479","$294.61","389","$208.53","41"
"Florida","$305.24","7150","$219.83","5819","$152.87","551"
"Georgia","$330.94","3373","$214.04","2472","$151.92","240"
"Hawaii","$307.96","353","$274.57","383","$167.62","27"
"Idaho","$275.6","335","$256.69","490","$129.39","24"
"Illinois","$358.12","4359","$287.38","3958","$177.98","362"
"Indiana","$334.51","1827","$207.98","1594","$168.44","262"
"Iowa","$370.98","751","$291.46","715","$247.69","107"
"Kansas","$352.26","899","$261.15","708","$114.26","114"
"Kentucky","$337.49","1104","$181.16","1068","$124.52","142"
"Louisiana","$373.09","1170","$242.44","956","$149.38","248"
"Maine","$319.72","481","$258.65","469","$213.48","53"
"Montana","$269.87","615","$257.03","285","$704.89","23"
"Nebraska","$347.68","555","$249.25","553","$141.76","65"
"Nevada","$268.47","963","$217.94","1021","$252.49","63"
"New Hampshire","$370.09","463","$289.97","481","$677.38","41"
"New Jersey","$353.26","2398","$291.89","3052","$231.68","207"
"New Mexico","$291.15","612","$216.16","472","$69.76","43"
"New York","$351.3","6213","$267.61","6364","$189.28","508"
"North Carolina","$354.45","3040","$247.68","2101","$151.27","246"
"North Dakota","$401.47","156","$353.27","229","$363.11","16"
"Ohio","$336.09","3309","$213.43","3110","$165.98","426"
"Oklahoma","$365.41","823","$227.49","744","$116.1","146"
"Oregon","$212.01","1731","$188.58","1451","$169.34","68"
"Maryland","$379.5","2150","$250.87","1712","$191.01","163"
"Massachusetts","$351.99","3097","$295.67","2691","$218.96","233"
"Michigan","$297.47","3244","$273.87","2758","$226.38","240"
"Minnesota","$368.88","1845","$277.85","1702","$181.28","103"
"Mississippi","$339.45","452","$146.75","394","$140","113"
"Missouri","$367.25","1707","$243.01","1416","$149.4","217"
"Pennsylvania","$370.32","4214","$266.79","3577","$190.52","394"
"Rhode Island","$332.34","571","$259.33","387","$201.75","34"
"South Carolina","$345.87","1267","$202.41","998","$186.66","131"
"South Dakota","$387.89","177","$352.93","184","$124.17","21"
"Tennessee","$356.31","1690","$227.16","1363","$192.43","168"
"Texas","$341.57","6509","$235.5","6275","$144.45","933"
"Utah","$292.86","736","$234.59","760","$189.78","47"
"Vermont","$376.96","293","$320.6","256","$187.64","25"
"Virginia","$372.81","2662","$288.33","2166","$226.39","225"
"Washington","$234.8","2521","$191.53","2562","$146.32","117"
"West Virginia","$362.12","404","$217.32","403","$160.38","43"
"Wisconsin","$356.96","1756","$269.84","1512","$238.37","138"
"Wyoming","$352.41","97","$378.46","144","$161.3","11"
