"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.05","1116","$200.64","1001","$151.36","130"
"Alaska","$284.23","274","$253.51","318","$388.58","26"
"Arizona","$303.52","2040","$209.98","1729","$195.85","232"
"Arkansas","$358.3","610","$182.76","579","$128.12","122"
"California","$248.25","12723","$192.83","13600","$190.87","814"
"Colorado","$237.36","2344","$198.31","1931","$221.99","140"
"Connecticut","$346.86","1364","$274.98","1414","$252.31","95"
"Delaware","$373.21","368","$226.97","286","$199.89","35"
"District of Columbia","$350.31","466","$293.64","375","$208.53","41"
"Florida","$305.59","6948","$219.74","5620","$154.33","535"
"Georgia","$332.16","3284","$214.36","2405","$153.61","236"
"Hawaii","$308.15","341","$273.2","374","$167.62","27"
"Idaho","$275.29","330","$258.27","473","$133.75","22"
"Illinois","$356.09","4266","$287.71","3860","$176.42","358"
"Indiana","$335.18","1783","$208.61","1549","$168.46","259"
"Iowa","$371.07","733","$293.08","696","$247.69","107"
"Kansas","$354.32","871","$261.26","680","$113.7","111"
"Kentucky","$339.6","1069","$181.1","1042","$124.52","141"
"Louisiana","$373.5","1153","$243.09","931","$148.48","245"
"Maine","$320.45","474","$257.53","459","$214.8","52"
"Montana","$270.14","607","$251.7","280","$734.65","22"
"Nebraska","$348.57","539","$248.43","540","$142.51","63"
"Nevada","$269.98","944","$218.73","983","$252.49","63"
"New Hampshire","$376.43","455","$289.2","477","$677.38","41"
"New Jersey","$354.55","2348","$292.4","2972","$232.29","202"
"New Mexico","$293.22","591","$205.41","459","$63.7","42"
"New York","$351.43","6118","$268.46","6198","$189.53","501"
"North Carolina","$355.43","2958","$247.36","2030","$150.59","238"
"North Dakota","$409.97","146","$350.34","221","$363.11","16"
"Ohio","$336.46","3220","$213.89","3009","$166.41","420"
"Oklahoma","$364.18","805","$228.91","726","$119.27","137"
"Oregon","$212.2","1691","$188.78","1407","$172.23","66"
"Maryland","$380.23","2095","$250.53","1661","$193.74","155"
"Massachusetts","$352.39","3033","$296.92","2613","$221.93","228"
"Michigan","$297.67","3187","$275.96","2681","$226.58","235"
"Minnesota","$369.82","1796","$278.24","1650","$181.28","103"
"Mississippi","$337.4","439","$148.75","376","$142.33","107"
"Missouri","$367.3","1655","$241.72","1383","$149.77","216"
"Pennsylvania","$370.93","4100","$266.44","3459","$191.25","389"
"Rhode Island","$332.76","555","$260.35","381","$201.75","34"
"South Carolina","$346.09","1229","$201.86","965","$174.45","128"
"South Dakota","$390.49","172","$366.83","179","$124.17","21"
"Tennessee","$357.49","1651","$226.46","1321","$195.76","160"
"Texas","$341.6","6338","$235.91","6087","$143.76","911"
"Utah","$292.37","720","$234.06","737","$187.95","45"
"Vermont","$377.65","291","$320.93","244","$187.64","25"
"Virginia","$373.18","2612","$287.2","2108","$226.45","221"
"Washington","$235.55","2466","$190.99","2495","$146.19","116"
"West Virginia","$363.66","391","$197.69","395","$158.3","41"
"Wisconsin","$357.82","1713","$271.04","1473","$239.71","137"
"Wyoming","$354.11","95","$379","139","$161.3","11"
