"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","340.64","1397","204.17","1267","144.98","161"
"Alaska","289.81","327","260.69","407","403.33","33"
"Arizona","300.45","2415","209.46","2144","186.34","282"
"Arkansas","346.66","760","180.21","729","126.1","135"
"California","245.16","15164","191.52","16944","188.7","992"
"Colorado","237.76","2849","197.2","2463","226.77","168"
"Connecticut","341.16","1633","271.94","1762","249.99","107"
"Delaware","365.6","447","230.27","380","204.86","39"
"District of Columbia","346.37","578","288.55","496","209.83","47"
"Florida","302.8","8516","217.7","7192","151.18","638"
"Georgia","326.6","4016","216.59","3047","145.43","282"
"Hawaii","310.27","416","266.68","464","174.23","29"
"Idaho","277.1","395","248.81","589","163.53","32"
"Illinois","355.74","5099","283.12","4836","193.39","412"
"Indiana","333.31","2145","211.66","1974","155.48","301"
"Iowa","366.28","879","289.98","899","249.3","112"
"Kansas","351.2","1059","261.93","883","121.73","130"
"Kentucky","338.31","1337","183.52","1319","123.31","167"
"Louisiana","366.36","1387","244.95","1201","144.08","293"
"Maine","317.25","559","254.56","577","272.95","59"
"Montana","266.83","686","248.58","337","571.68","30"
"Nebraska","341.57","641","250.66","641","133.37","73"
"Nevada","268.12","1124","229.21","1262","235.3","75"
"New Hampshire","356.61","539","291.25","587","617.09","46"
"New Jersey","348.56","2788","288.19","3700","224.95","237"
"New Mexico","288.91","711","201.33","574","94.88","58"
"New York","346.18","7154","265.27","7714","208.18","574"
"North Carolina","349.33","3652","246.04","2647","151.42","285"
"North Dakota","405.46","186","365.33","272","336.51","21"
"Ohio","334.53","3848","217.38","3801","165.3","503"
"Oklahoma","364.15","960","232.31","934","122.6","175"
"Oregon","208.7","1992","183.59","1754","177.42","84"
"Maryland","370.38","2565","252.45","2148","187.01","181"
"Massachusetts","350.25","3668","289.06","3290","221.46","268"
"Michigan","291.19","3695","274.52","3315","265.05","272"
"Minnesota","357.33","2153","276.1","2151","183.94","115"
"Mississippi","336.94","545","146.65","479","145.6","129"
"Missouri","357.58","2005","246.01","1841","146.1","273"
"Pennsylvania","366.22","4993","267.92","4356","192.86","469"
"Rhode Island","321.39","655","257.92","474","199.96","40"
"South Carolina","341.94","1508","202.02","1236","185.3","152"
"South Dakota","377.11","196","348.33","228","123.94","22"
"Tennessee","352.82","2022","225.97","1664","184.52","197"
"Texas","336.96","7527","233.46","7606","144.18","1064"
"Utah","287.36","869","238.72","929","207.35","57"
"Vermont","374.78","332","317.02","317","190.76","28"
"Virginia","366.83","3145","292.01","2694","224.37","256"
"Washington","232.69","3015","189.67","3147","136.53","143"
"West Virginia","354.79","495","213.89","476","145.37","55"
"Wisconsin","352.93","2019","271.46","1906","252.51","148"
"Wyoming","349.69","116","356.25","170","161.3","12"
