"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.59","1289","$204.68","1161","$144.04","148"
"Alaska","$285.65","304","$259.9","366","$359.87","30"
"Arizona","$302.37","2252","$208.45","1976","$189.14","265"
"Arkansas","$351.15","697","$183.47","654","$127.16","130"
"California","$245.83","14058","$192.43","15396","$190.53","915"
"Colorado","$236.85","2643","$196.68","2232","$230.97","157"
"Connecticut","$344.09","1499","$272.96","1596","$251.03","100"
"Delaware","$369.57","408","$230.25","330","$204.86","39"
"District of Columbia","$346.18","523","$291.16","438","$209.83","47"
"Florida","$303.57","7891","$217.15","6520","$152.52","600"
"Georgia","$327.59","3688","$215.22","2771","$144.32","262"
"Hawaii","$313.64","382","$266.74","426","$165.55","28"
"Idaho","$275.62","365","$252.42","532","$136.89","28"
"Illinois","$356.13","4722","$285.5","4348","$190.94","391"
"Indiana","$334.05","1978","$210.31","1797","$156.36","280"
"Iowa","$368.31","812","$289.38","801","$247.1","110"
"Kansas","$350.06","978","$260.11","785","$120.31","124"
"Kentucky","$339.28","1219","$181.9","1206","$124.92","158"
"Louisiana","$367.93","1275","$244.95","1068","$145.28","271"
"Maine","$318.17","523","$257.44","523","$274.25","58"
"Montana","$268.16","647","$252.43","312","$645.6","26"
"Nebraska","$343.44","602","$251.23","592","$134.51","71"
"Nevada","$268","1038","$229.7","1136","$238.93","69"
"New Hampshire","$359.67","495","$291.11","530","$666.71","42"
"New Jersey","$351.46","2576","$289.63","3343","$224.99","221"
"New Mexico","$289.96","651","$201.15","525","$85.81","52"
"New York","$348.25","6654","$266.22","6975","$205.74","537"
"North Carolina","$351.32","3361","$245.01","2371","$151.17","260"
"North Dakota","$401.38","176","$353.73","249","$334.13","18"
"Ohio","$335.64","3579","$216.28","3455","$163.11","464"
"Oklahoma","$367.11","888","$234.03","839","$119.37","159"
"Oregon","$209.65","1844","$185.37","1590","$163.84","77"
"Maryland","$373.15","2340","$250.16","1913","$189.57","171"
"Massachusetts","$350.96","3356","$293.92","2955","$218.67","247"
"Michigan","$294.87","3463","$278.18","3015","$273.48","256"
"Minnesota","$366.22","2016","$277.01","1916","$181.83","109"
"Mississippi","$340.04","507","$146.23","438","$140.57","120"
"Missouri","$365.85","1862","$243.98","1629","$144.56","252"
"Pennsylvania","$367.2","4573","$267.67","3945","$196.33","432"
"Rhode Island","$328.42","603","$257.15","429","$201.42","37"
"South Carolina","$344.71","1379","$200.35","1107","$190.55","141"
"South Dakota","$382.94","184","$351.72","206","$123.94","22"
"Tennessee","$354.77","1850","$225.46","1513","$187.46","176"
"Texas","$338.68","7022","$233.64","6937","$142.24","1001"
"Utah","$289.38","804","$239.04","839","$202.8","53"
"Vermont","$376.52","315","$321.26","279","$190.36","26"
"Virginia","$369.62","2895","$288.76","2418","$222.77","243"
"Washington","$232.93","2712","$190.08","2812","$142.98","128"
"West Virginia","$355.28","453","$215.12","439","$156.1","48"
"Wisconsin","$354.79","1883","$271.97","1688","$237.56","145"
"Wyoming","$350.72","108","$358.86","157","$161.3","11"
