"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","335.39","1600","210.06","1551","I feel bad for these guys -->","197"
"Alaska","303.78","363","269.86","501","I feel bad for these guys -->","37"
"Arizona","296.69","2759","208.24","2557","I feel bad for these guys -->","319"
"Arkansas","341.57","882","208.43","876","I feel bad for these guys -->","151"
"California","242.96","17062","188.76","19974","I feel bad for these guys -->","1137"
"Colorado","242.75","3273","195.86","3021","I feel bad for these guys -->","189"
"Connecticut","336.18","1887","267.28","2170","I feel bad for these guys -->","131"
"Delaware","362.47","511","235.89","457","I feel bad for these guys -->","44"
"District of Columbia","348.86","687","283.48","624","I feel bad for these guys -->","50"
"Florida","300.12","9756","216.35","8673","I feel bad for these guys -->","724"
"Georgia","322.36","4654","217.72","3671","I feel bad for these guys -->","316"
"Hawaii","307.21","470","261.77","548","I feel bad for these guys -->","31"
"Idaho","275.08","471","242.91","702","I feel bad for these guys -->","36"
"Illinois","352.25","5845","282.05","5801","I feel bad for these guys -->","464"
"Indiana","331.46","2485","217.56","2359","I feel bad for these guys -->","337"
"Iowa","364.01","1008","289.75","1105","I feel bad for these guys -->","124"
"Kansas","349.03","1201","258.26","1063","I feel bad for these guys -->","145"
"Kentucky","337.91","1559","173.38","1582","I feel bad for these guys -->","183"
"Louisiana","360.1","1597","241.36","1431","I feel bad for these guys -->","333"
"Maine","305.46","635","234.44","692","I feel bad for these guys -->","66"
"Montana","265.26","752","248.77","388","I feel bad for these guys -->","32"
"Nebraska","334.85","718","243.07","770","I feel bad for these guys -->","76"
"Nevada","265.8","1290","225.96","1497","I feel bad for these guys -->","80"
"New Hampshire","352.61","617","287.33","686","I feel bad for these guys -->","52"
"New Jersey","345.41","3185","285.16","4431","I feel bad for these guys -->","264"
"New Mexico","287.98","834","220.37","692","I feel bad for these guys -->","71"
"New York","343.01","8113","262.94","9132","I feel bad for these guys -->","635"
"North Carolina","344.59","4301","245.75","3193","I feel bad for these guys -->","331"
"North Dakota","384.23","217","319.77","348","I feel bad for these guys -->","26"
"Ohio","332.76","4427","219.99","4522","I feel bad for these guys -->","567"
"Oklahoma","352.1","1176","238.48","1120","I feel bad for these guys -->","200"
"Oregon","205.51","2252","180.28","2119","I feel bad for these guys -->","99"
"Maryland","362.07","2998","268.17","2603","I feel bad for these guys -->","199"
"Massachusetts","343.68","4127","283.88","3990","I feel bad for these guys -->","294"
"Michigan","287.52","4113","268.4","3914","I feel bad for these guys -->","306"
"Minnesota","347.54","2479","273.31","2629","I feel bad for these guys -->","136"
"Mississippi","334.32","646","150.95","588","I feel bad for these guys -->","152"
"Missouri","349.13","2310","246.02","2235","I feel bad for these guys -->","307"
"Pennsylvania","361.99","5734","269.49","5238","I feel bad for these guys -->","523"
"Rhode Island","316.3","739","256.48","601","I feel bad for these guys -->","47"
"South Carolina","336.77","1772","206.25","1476","I feel bad for these guys -->","166"
"South Dakota","358.23","227","348.01","267","I feel bad for these guys -->","26"
"Tennessee","347.61","2333","226.53","2029","I feel bad for these guys -->","233"
"Texas","332.82","8572","232.22","9045","I feel bad for these guys -->","1181"
"Utah","289.03","995","235.41","1120","I feel bad for these guys -->","66"
"Vermont","368.92","374","305.9","387","I feel bad for these guys -->","32"
"Virginia","364.24","3658","290.58","3262","I feel bad for these guys -->","295"
"Washington","232.62","3463","188.63","3734","I feel bad for these guys -->","162"
"West Virginia","357.92","574","225.28","581","I feel bad for these guys -->","60"
"Wisconsin","348.31","2328","271.07","2360","I feel bad for these guys -->","171"
"Wyoming","322.28","134","349.08","205","I feel bad for these guys -->","13"
