"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","336.25","1572","209.32","1505","I feel bad for these guys -->","188"
"Alaska","303.03","355","270.76","486","I feel bad for these guys -->","37"
"Arizona","297.5","2696","209.14","2493","I feel bad for these guys -->","310"
"Arkansas","342.03","864","208.37","860","I feel bad for these guys -->","146"
"California","243.51","16768","189.09","19562","I feel bad for these guys -->","1115"
"Colorado","243.17","3201","195.73","2950","I feel bad for these guys -->","188"
"Connecticut","336.31","1856","267.04","2124","I feel bad for these guys -->","129"
"Delaware","364.04","500","234.01","444","I feel bad for these guys -->","43"
"District of Columbia","347.83","668","281.52","599","I feel bad for these guys -->","49"
"Florida","300.36","9562","216.51","8404","I feel bad for these guys -->","704"
"Georgia","323.34","4536","216.92","3565","I feel bad for these guys -->","311"
"Hawaii","305.91","463","261.18","536","I feel bad for these guys -->","30"
"Idaho","275.09","463","243.94","685","I feel bad for these guys -->","36"
"Illinois","352.9","5741","282.63","5651","I feel bad for these guys -->","456"
"Indiana","331.76","2435","215.38","2308","I feel bad for these guys -->","333"
"Iowa","364.76","985","289.98","1075","I feel bad for these guys -->","123"
"Kansas","349.31","1183","259.93","1028","I feel bad for these guys -->","141"
"Kentucky","338.95","1524","174.2","1545","I feel bad for these guys -->","182"
"Louisiana","361.27","1557","241.2","1389","I feel bad for these guys -->","324"
"Maine","312.37","626","234.93","671","I feel bad for these guys -->","62"
"Montana","265.63","744","249.46","379","I feel bad for these guys -->","32"
"Nebraska","334.63","702","244.55","740","I feel bad for these guys -->","76"
"Nevada","266.07","1262","226.67","1468","I feel bad for these guys -->","78"
"New Hampshire","353.62","608","288.48","668","I feel bad for these guys -->","51"
"New Jersey","345.02","3117","285.78","4317","I feel bad for these guys -->","261"
"New Mexico","287.82","816","219.31","677","I feel bad for these guys -->","69"
"New York","343.41","7976","263.2","8920","I feel bad for these guys -->","624"
"North Carolina","344.54","4198","245.87","3109","I feel bad for these guys -->","322"
"North Dakota","392.54","215","322.88","336","I feel bad for these guys -->","24"
"Ohio","332.52","4333","219.39","4385","I feel bad for these guys -->","555"
"Oklahoma","353.25","1146","238.28","1094","I feel bad for these guys -->","198"
"Oregon","205.38","2218","180.71","2072","I feel bad for these guys -->","99"
"Maryland","363.64","2932","267.41","2537","I feel bad for these guys -->","194"
"Massachusetts","344.65","4062","284.96","3883","I feel bad for these guys -->","293"
"Michigan","287.43","4049","269.1","3829","I feel bad for these guys -->","302"
"Minnesota","347.99","2424","273.69","2540","I feel bad for these guys -->","133"
"Mississippi","336.89","631","151.44","566","I feel bad for these guys -->","148"
"Missouri","350.96","2260","245.37","2169","I feel bad for these guys -->","303"
"Pennsylvania","362.41","5628","269.53","5100","I feel bad for these guys -->","512"
"Rhode Island","317.32","727","258.66","579","I feel bad for these guys -->","47"
"South Carolina","337.04","1723","205.2","1437","I feel bad for these guys -->","165"
"South Dakota","358.24","223","348.71","258","I feel bad for these guys -->","26"
"Tennessee","347.89","2288","226.45","1971","I feel bad for these guys -->","227"
"Texas","333.56","8410","232.52","8809","I feel bad for these guys -->","1164"
"Utah","289.85","973","236.68","1088","I feel bad for these guys -->","63"
"Vermont","370.46","364","307.42","381","I feel bad for these guys -->","32"
"Virginia","364.6","3579","291.32","3163","I feel bad for these guys -->","291"
"Washington","232.91","3403","188.77","3646","I feel bad for these guys -->","161"
"West Virginia","357.99","560","225.72","558","I feel bad for these guys -->","60"
"Wisconsin","349.61","2282","271.83","2286","I feel bad for these guys -->","168"
"Wyoming","320.39","133","351.58","199","I feel bad for these guys -->","12"
