"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$341.17","1279","$204.68","1153","$142.72","146"
"Alaska","$285.53","303","$260.22","363","$359.87","29"
"Arizona","$302.4","2249","$208.25","1973","$189.14","265"
"Arkansas","$351.37","693","$183.73","653","$129.02","128"
"California","$245.89","14014","$192.4","15347","$190.02","911"
"Colorado","$236.81","2636","$196.59","2223","$232.48","156"
"Connecticut","$344.38","1492","$272.78","1592","$251.03","100"
"Delaware","$369.57","408","$228.67","328","$209.72","38"
"District of Columbia","$346.18","523","$290.83","434","$209.83","47"
"Florida","$303.67","7861","$217.3","6481","$152.44","598"
"Georgia","$327.54","3679","$215.36","2752","$153.02","261"
"Hawaii","$314.35","381","$266.22","424","$165.55","28"
"Idaho","$276.27","363","$251.97","530","$136.89","28"
"Illinois","$356.05","4705","$285.89","4335","$188.97","389"
"Indiana","$334.16","1972","$210.27","1787","$156.41","279"
"Iowa","$368.53","810","$289.15","799","$247.1","110"
"Kansas","$349.96","975","$260.91","779","$120.26","123"
"Kentucky","$339.22","1211","$181.53","1201","$124.69","155"
"Louisiana","$368.05","1272","$244.64","1062","$144.75","270"
"Maine","$317.64","520","$258","519","$274.25","58"
"Montana","$268.05","642","$252.43","311","$645.6","26"
"Nebraska","$343.56","601","$251.18","591","$136.34","70"
"Nevada","$267.95","1037","$229.94","1131","$242.08","68"
"New Hampshire","$359.59","493","$291.66","527","$666.71","42"
"New Jersey","$351.57","2567","$289.95","3330","$224.99","221"
"New Mexico","$290.05","650","$200.54","524","$85.81","52"
"New York","$348.56","6627","$266.3","6951","$205.01","534"
"North Carolina","$351.51","3344","$244.91","2357","$151.17","259"
"North Dakota","$401.38","176","$353.73","249","$334.13","18"
"Ohio","$335.67","3571","$216.23","3440","$163.29","462"
"Oklahoma","$367.02","885","$234.6","832","$119.37","159"
"Oregon","$209.6","1841","$185.55","1584","$163.84","77"
"Maryland","$373.42","2332","$249.66","1903","$189.57","171"
"Massachusetts","$351.03","3341","$293.93","2947","$218.67","247"
"Michigan","$295.07","3455","$278.43","3004","$273.48","256"
"Minnesota","$366.14","2012","$276.81","1909","$181.83","109"
"Mississippi","$340.27","503","$144.85","436","$140.57","120"
"Missouri","$368.17","1856","$243.63","1621","$143.7","250"
"Pennsylvania","$367.42","4560","$267.52","3933","$196.56","431"
"Rhode Island","$329.16","600","$258.46","425","$201.42","37"
"South Carolina","$343.34","1374","$200.06","1102","$190.55","141"
"South Dakota","$382.94","183","$351.72","205","$123.94","22"
"Tennessee","$354.8","1844","$225.06","1506","$187.46","176"
"Texas","$338.8","7003","$233.65","6906","$142.42","994"
"Utah","$289.49","803","$239.49","837","$201.13","52"
"Vermont","$376.52","315","$321.13","278","$190.36","26"
"Virginia","$369.74","2885","$288.43","2407","$222.77","243"
"Washington","$233.09","2704","$190.22","2799","$142.98","128"
"West Virginia","$355.41","452","$214.66","437","$156.1","48"
"Wisconsin","$354.86","1875","$272.04","1685","$239.18","144"
"Wyoming","$350.72","108","$358.86","157","$161.3","11"
