"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.14","1124","$202.43","1015","$146.33","133"
"Alaska","$284.21","275","$253.84","320","$388.58","26"
"Arizona","$303.31","2063","$209.85","1745","$195.71","237"
"Arkansas","$358.79","615","$183.03","582","$127.31","124"
"California","$248.14","12838","$192.92","13708","$190.78","819"
"Colorado","$237.27","2368","$197.88","1947","$227.89","143"
"Connecticut","$346.79","1370","$276.95","1433","$252.31","95"
"Delaware","$372.13","371","$227.49","290","$206.61","36"
"District of Columbia","$349.57","468","$293.84","382","$208.53","41"
"Florida","$305.6","7021","$219.58","5692","$153.79","538"
"Georgia","$331.58","3316","$213.81","2430","$153.61","236"
"Hawaii","$308.15","346","$273","375","$167.62","27"
"Idaho","$275.29","330","$258.39","481","$129.39","23"
"Illinois","$355.82","4303","$287.45","3899","$177.54","359"
"Indiana","$334.96","1805","$208.36","1564","$168.7","261"
"Iowa","$370.88","741","$293.05","705","$247.69","107"
"Kansas","$354.12","879","$261.44","690","$113.7","111"
"Kentucky","$338.84","1083","$181.4","1056","$124.52","142"
"Louisiana","$373.41","1159","$243.81","942","$148.11","246"
"Maine","$320.29","475","$259.88","463","$214.8","52"
"Montana","$270.01","609","$251.5","281","$734.65","22"
"Nebraska","$347.42","543","$249","542","$141.76","64"
"Nevada","$269.43","951","$218.28","993","$252.49","63"
"New Hampshire","$376.25","457","$289.71","479","$677.38","41"
"New Jersey","$354.07","2363","$291.81","2999","$233.99","203"
"New Mexico","$292.03","601","$204.83","463","$63.7","42"
"New York","$351.31","6149","$268.09","6257","$189.78","505"
"North Carolina","$355.2","2982","$248.4","2052","$152.4","242"
"North Dakota","$405.84","149","$351.08","224","$363.11","16"
"Ohio","$336.45","3253","$213.56","3043","$166.38","423"
"Oklahoma","$365.71","811","$228.14","732","$118.85","139"
"Oregon","$211.97","1714","$188.93","1424","$169.34","68"
"Maryland","$380.16","2119","$250.39","1679","$192.2","158"
"Massachusetts","$352.12","3054","$296.53","2635","$221.4","229"
"Michigan","$297.67","3208","$275.29","2702","$225.49","238"
"Minnesota","$369.78","1814","$277.87","1668","$181.28","103"
"Mississippi","$338.18","444","$147.57","385","$140.88","110"
"Missouri","$368","1670","$242.24","1399","$149.4","217"
"Pennsylvania","$370.89","4141","$266.9","3489","$190.74","391"
"Rhode Island","$332.78","559","$259.93","383","$201.75","34"
"South Carolina","$346.23","1245","$202.25","978","$174.45","128"
"South Dakota","$390.15","174","$367.51","181","$124.17","21"
"Tennessee","$357.25","1666","$226.89","1332","$193.34","163"
"Texas","$341.6","6402","$235.77","6154","$143.69","917"
"Utah","$292.2","729","$234.16","744","$189.78","47"
"Vermont","$377.65","291","$320.52","248","$187.64","25"
"Virginia","$372.67","2636","$288.38","2133","$227.61","222"
"Washington","$235.41","2486","$191.28","2520","$146.19","116"
"West Virginia","$363.64","395","$197.21","397","$158.3","41"
"Wisconsin","$357.86","1730","$270.37","1486","$239.71","137"
"Wyoming","$354.11","95","$378.34","140","$161.3","11"
