"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","339.81","1425","204.65","1307","I feel bad for these guys -->","162"
"Alaska","291.41","331","262.29","423","I feel bad for these guys -->","34"
"Arizona","300.11","2447","210.22","2195","I feel bad for these guys -->","290"
"Arkansas","345.81","779","179.96","748","I feel bad for these guys -->","136"
"California","245.01","15410","190.98","17357","I feel bad for these guys -->","1001"
"Colorado","238.12","2899","196.91","2524","I feel bad for these guys -->","168"
"Connecticut","340.73","1670","270.62","1822","I feel bad for these guys -->","112"
"Delaware","365.92","458","231.45","394","I feel bad for these guys -->","39"
"District of Columbia","350.27","602","288.91","514","I feel bad for these guys -->","48"
"Florida","302.03","8720","217.89","7435","I feel bad for these guys -->","650"
"Georgia","326.49","4106","217.29","3133","I feel bad for these guys -->","287"
"Hawaii","310.34","421","268.95","473","I feel bad for these guys -->","29"
"Idaho","276.15","402","247.95","607","I feel bad for these guys -->","33"
"Illinois","356.53","5218","282.95","4995","I feel bad for these guys -->","420"
"Indiana","332.75","2208","213.2","2041","I feel bad for these guys -->","308"
"Iowa","365.96","898","288.88","922","I feel bad for these guys -->","114"
"Kansas","350.67","1082","262.82","903","I feel bad for these guys -->","130"
"Kentucky","338.57","1368","174.37","1357","I feel bad for these guys -->","170"
"Louisiana","366.02","1414","243.74","1229","I feel bad for these guys -->","297"
"Maine","314.86","569","245.54","594","I feel bad for these guys -->","59"
"Montana","266.44","695","250.28","344","I feel bad for these guys -->","30"
"Nebraska","338.86","653","249.79","661","I feel bad for these guys -->","74"
"Nevada","268.45","1141","229.74","1291","I feel bad for these guys -->","76"
"New Hampshire","356.53","549","290.33","598","I feel bad for these guys -->","47"
"New Jersey","348.24","2840","287.65","3799","I feel bad for these guys -->","239"
"New Mexico","288.43","730","202.56","595","I feel bad for these guys -->","59"
"New York","346.7","7295","264.87","7921","I feel bad for these guys -->","583"
"North Carolina","347.7","3745","245.38","2725","I feel bad for these guys -->","288"
"North Dakota","395.33","192","347.23","284","I feel bad for these guys -->","21"
"Ohio","334.31","3931","217.87","3900","I feel bad for these guys -->","514"
"Oklahoma","364.92","992","233.88","964","I feel bad for these guys -->","177"
"Oregon","208.09","2032","182.45","1802","I feel bad for these guys -->","85"
"Maryland","369.68","2614","253.17","2211","I feel bad for these guys -->","185"
"Massachusetts","349.56","3745","288.64","3411","I feel bad for these guys -->","272"
"Michigan","289.82","3764","273.63","3388","I feel bad for these guys -->","277"
"Minnesota","354.58","2184","275.45","2206","I feel bad for these guys -->","118"
"Mississippi","337.05","557","145.37","491","I feel bad for these guys -->","133"
"Missouri","357.95","2051","245.77","1904","I feel bad for these guys -->","276"
"Pennsylvania","365.32","5094","267.57","4465","I feel bad for these guys -->","475"
"Rhode Island","320.23","666","259.28","483","I feel bad for these guys -->","43"
"South Carolina","341.27","1540","203.28","1262","I feel bad for these guys -->","155"
"South Dakota","377.57","203","349.65","231","I feel bad for these guys -->","24"
"Tennessee","352.12","2059","227","1702","I feel bad for these guys -->","201"
"Texas","336.73","7652","232.63","7777","I feel bad for these guys -->","1084"
"Utah","287.58","887","238.43","956","I feel bad for these guys -->","58"
"Vermont","374.25","335","315.94","329","I feel bad for these guys -->","29"
"Virginia","366.57","3212","291.55","2778","I feel bad for these guys -->","262"
"Washington","233.19","3073","189.39","3229","I feel bad for these guys -->","145"
"West Virginia","355.46","504","215.99","493","I feel bad for these guys -->","57"
"Wisconsin","352.36","2070","272.72","1972","I feel bad for these guys -->","152"
"Wyoming","328.51","119","354.94","171","I feel bad for these guys -->","12"
