"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","339.81","1425","204.78","1308","I feel bad for these guys -->","162"
"Alaska","291.41","331","262.29","423","I feel bad for these guys -->","34"
"Arizona","300.11","2448","210.22","2195","I feel bad for these guys -->","290"
"Arkansas","345.81","779","179.96","748","I feel bad for these guys -->","136"
"California","245.05","15419","190.91","17373","I feel bad for these guys -->","1001"
"Colorado","238.05","2900","196.85","2525","I feel bad for these guys -->","168"
"Connecticut","340.75","1672","270.58","1826","I feel bad for these guys -->","112"
"Delaware","365.92","458","231.45","394","I feel bad for these guys -->","39"
"District of Columbia","350.27","602","288.91","514","I feel bad for these guys -->","48"
"Florida","301.9","8728","217.89","7436","I feel bad for these guys -->","651"
"Georgia","326.54","4107","217.25","3134","I feel bad for these guys -->","287"
"Hawaii","310.34","421","268.95","473","I feel bad for these guys -->","29"
"Idaho","275.96","403","247.87","608","I feel bad for these guys -->","33"
"Illinois","356.47","5220","282.85","5001","I feel bad for these guys -->","420"
"Indiana","332.78","2209","213.2","2041","I feel bad for these guys -->","308"
"Iowa","365.96","898","288.88","922","I feel bad for these guys -->","114"
"Kansas","350.64","1083","262.69","904","I feel bad for these guys -->","130"
"Kentucky","338.57","1368","174.24","1358","I feel bad for these guys -->","170"
"Louisiana","365.88","1415","243.77","1230","I feel bad for these guys -->","297"
"Maine","314.94","570","244.72","595","I feel bad for these guys -->","59"
"Montana","266.44","696","250.28","344","I feel bad for these guys -->","30"
"Nebraska","338.86","653","249.9","662","I feel bad for these guys -->","74"
"Nevada","268.3","1142","229.63","1295","I feel bad for these guys -->","76"
"New Hampshire","356.53","549","290.56","599","I feel bad for these guys -->","47"
"New Jersey","348.37","2843","287.59","3802","I feel bad for these guys -->","239"
"New Mexico","288.43","730","202.56","595","I feel bad for these guys -->","59"
"New York","346.67","7304","264.84","7924","I feel bad for these guys -->","583"
"North Carolina","347.77","3750","245.33","2726","I feel bad for these guys -->","288"
"North Dakota","393.75","194","347.23","284","I feel bad for these guys -->","21"
"Ohio","334.33","3932","217.87","3900","I feel bad for these guys -->","514"
"Oklahoma","364.74","994","234.18","965","I feel bad for these guys -->","177"
"Oregon","208.09","2033","182.46","1805","I feel bad for these guys -->","85"
"Maryland","369.67","2615","253.34","2215","I feel bad for these guys -->","185"
"Massachusetts","349.55","3748","288.54","3414","I feel bad for these guys -->","272"
"Michigan","290.59","3767","273.57","3391","I feel bad for these guys -->","277"
"Minnesota","354.46","2185","275.41","2207","I feel bad for these guys -->","118"
"Mississippi","337.31","558","145.37","491","I feel bad for these guys -->","133"
"Missouri","357.9","2052","245.73","1905","I feel bad for these guys -->","276"
"Pennsylvania","365.25","5097","267.69","4469","I feel bad for these guys -->","475"
"Rhode Island","320.23","667","258.99","484","I feel bad for these guys -->","43"
"South Carolina","341.27","1540","203.57","1263","I feel bad for these guys -->","155"
"South Dakota","377.14","204","348.54","232","I feel bad for these guys -->","24"
"Tennessee","352.12","2059","227.13","1704","I feel bad for these guys -->","201"
"Texas","336.65","7656","232.64","7778","I feel bad for these guys -->","1085"
"Utah","287.58","887","238.43","956","I feel bad for these guys -->","58"
"Vermont","374.25","335","315.25","330","I feel bad for these guys -->","29"
"Virginia","366.49","3216","291.53","2781","I feel bad for these guys -->","262"
"Washington","233.15","3075","189.46","3233","I feel bad for these guys -->","145"
"West Virginia","355.46","504","215.99","493","I feel bad for these guys -->","57"
"Wisconsin","352.36","2070","272.76","1976","I feel bad for these guys -->","152"
"Wyoming","328.51","119","354.94","171","I feel bad for these guys -->","12"
