"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","340.55","1398","204.33","1268","144.98","161"
"Alaska","289.81","327","261","409","403.33","33"
"Arizona","300.37","2418","209.57","2148","185.78","283"
"Arkansas","346.66","760","180.21","729","126.1","135"
"California","245.13","15184","191.42","16980","188.7","992"
"Colorado","237.91","2852","197.05","2468","226.77","168"
"Connecticut","341.01","1638","271.71","1766","249.99","107"
"Delaware","365.72","449","230.27","380","204.86","39"
"District of Columbia","348.64","581","288.55","496","209.83","47"
"Florida","302.75","8529","217.67","7210","151.18","638"
"Georgia","326.54","4023","216.43","3054","145.43","282"
"Hawaii","310","417","266.68","464","174.23","29"
"Idaho","277.1","395","248.89","590","163.53","32"
"Illinois","355.84","5105","283.19","4840","193.39","412"
"Indiana","333.12","2150","211.45","1978","155.34","302"
"Iowa","366.28","879","289.36","901","249.3","112"
"Kansas","351.07","1061","261.67","884","121.73","130"
"Kentucky","338.39","1338","183.58","1322","123.31","167"
"Louisiana","366.31","1388","244.83","1202","144.08","293"
"Maine","315.55","560","254.23","578","272.95","59"
"Montana","266.83","686","248.81","338","571.68","30"
"Nebraska","341.57","641","250.94","643","133.37","73"
"Nevada","268.1","1125","229.24","1265","234.29","76"
"New Hampshire","356.61","539","291.25","587","617.09","46"
"New Jersey","348.51","2791","288.07","3706","224.67","238"
"New Mexico","289.21","712","201.03","576","94.88","58"
"New York","346.13","7164","265.3","7730","208.36","575"
"North Carolina","349.24","3659","245.98","2650","151.42","285"
"North Dakota","405.46","186","365.33","272","336.51","21"
"Ohio","334.5","3857","217.47","3807","165.3","503"
"Oklahoma","363.39","962","232.28","935","122.6","175"
"Oregon","208.66","1994","183.45","1757","177.42","84"
"Maryland","370.57","2568","252.41","2151","187.01","181"
"Massachusetts","350.25","3675","288.78","3303","221.68","269"
"Michigan","291.16","3703","274.45","3323","263.83","274"
"Minnesota","355.28","2159","276.1","2151","183.94","115"
"Mississippi","336.94","545","146.44","480","145.17","130"
"Missouri","357.45","2006","246.03","1845","146.1","273"
"Pennsylvania","366.06","4999","268.14","4365","192.86","469"
"Rhode Island","321.36","657","257.92","474","209.65","41"
"South Carolina","342","1511","202.02","1236","185.3","152"
"South Dakota","377.11","196","348.33","228","123.94","22"
"Tennessee","352.84","2024","225.84","1665","184.52","197"
"Texas","336.93","7537","232.31","7618","144.1","1065"
"Utah","287.38","871","238.72","929","207.35","57"
"Vermont","374.78","332","317.5","319","190.76","28"
"Virginia","366.8","3148","292.01","2700","224.37","256"
"Washington","232.7","3020","189.57","3154","136.53","143"
"West Virginia","354.79","495","214.11","478","145.37","55"
"Wisconsin","352.82","2025","271.75","1911","252.51","148"
"Wyoming","330.41","117","356.25","170","161.3","12"
