"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","338.01","1900","206.63","1817","I feel bad for these guys -->","219"
"Alaska","293.46","408","266.52","579","I feel bad for these guys -->","41"
"Arizona","296.8","3019","208.75","2891","I feel bad for these guys -->","346"
"Arkansas","334.49","1000","212.2","993","I feel bad for these guys -->","173"
"California","242.02","18583","188.11","22109","I feel bad for these guys -->","1232"
"Colorado","241.35","3617","195.34","3445","I feel bad for these guys -->","216"
"Connecticut","332.28","2132","265.11","2531","I feel bad for these guys -->","149"
"Delaware","354.29","573","243.67","511","I feel bad for these guys -->","47"
"District of Columbia","345.98","775","281.84","740","I feel bad for these guys -->","54"
"Florida","297.1","10885","216.23","9746","I feel bad for these guys -->","784"
"Georgia","317.18","5246","217.14","4229","I feel bad for these guys -->","349"
"Hawaii","301.27","545","258.83","622","I feel bad for these guys -->","33"
"Idaho","273.38","510","241.64","802","I feel bad for these guys -->","42"
"Illinois","348.94","6430","279.97","6566","I feel bad for these guys -->","512"
"Indiana","328.92","2772","218.58","2663","I feel bad for these guys -->","364"
"Iowa","362.08","1114","288.46","1233","I feel bad for these guys -->","136"
"Kansas","346.08","1310","261.68","1205","I feel bad for these guys -->","156"
"Kentucky","341.2","1719","184.96","1781","I feel bad for these guys -->","201"
"Louisiana","358.42","1868","241.02","1678","I feel bad for these guys -->","369"
"Maine","301.57","707","233.1","778","I feel bad for these guys -->","73"
"Montana","264.24","798","238.65","448","I feel bad for these guys -->","36"
"Nebraska","328.93","801","240","863","I feel bad for these guys -->","78"
"Nevada","266.26","1444","224.55","1662","I feel bad for these guys -->","89"
"New Hampshire","349.28","670","289.31","764","I feel bad for these guys -->","58"
"New Jersey","342.21","3477","283.58","4972","I feel bad for these guys -->","289"
"New Mexico","282.49","910","218.44","783","I feel bad for these guys -->","73"
"New York","338.39","8959","261.6","10228","I feel bad for these guys -->","686"
"North Carolina","341.83","4770","245.29","3652","I feel bad for these guys -->","358"
"North Dakota","383.87","251","337.76","403","I feel bad for these guys -->","27"
"Ohio","331.04","4935","219.85","5113","I feel bad for these guys -->","621"
"Oklahoma","348.73","1303","242.98","1291","I feel bad for these guys -->","216"
"Oregon","202.3","2556","178.24","2423","I feel bad for these guys -->","113"
"Maryland","359.5","3287","265.99","2959","I feel bad for these guys -->","215"
"Massachusetts","339.68","4539","280.78","4493","I feel bad for these guys -->","325"
"Michigan","282.26","4510","263.18","4345","I feel bad for these guys -->","330"
"Minnesota","339.8","2727","269.88","3009","I feel bad for these guys -->","150"
"Mississippi","331.03","797","157.76","754","I feel bad for these guys -->","178"
"Missouri","347.63","2580","248.97","2515","I feel bad for these guys -->","334"
"Pennsylvania","357.88","6247","268.66","5935","I feel bad for these guys -->","565"
"Rhode Island","313.51","810","248.96","690","I feel bad for these guys -->","48"
"South Carolina","333.92","2017","208.96","1695","I feel bad for these guys -->","189"
"South Dakota","358.34","256","341.1","304","I feel bad for these guys -->","30"
"Tennessee","345.27","2616","228.3","2316","I feel bad for these guys -->","261"
"Texas","326.06","9650","232.92","10320","I feel bad for these guys -->","1289"
"Utah","285.27","1088","233.43","1239","I feel bad for these guys -->","71"
"Vermont","361.67","414","304.63","435","I feel bad for these guys -->","32"
"Virginia","362.22","4051","290.9","3650","I feel bad for these guys -->","322"
"Washington","231.75","3801","187.43","4167","I feel bad for these guys -->","183"
"West Virginia","357.43","641","224.27","652","I feel bad for these guys -->","67"
"Wisconsin","345.75","2571","272.66","2708","I feel bad for these guys -->","183"
"Wyoming","313.72","148","317.08","227","I feel bad for these guys -->","13"
