"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.55","1171","$204.38","1063","$147.4","136"
"Alaska","$285.65","283","$256.07","337","$388.58","26"
"Arizona","$302.7","2119","$209.6","1810","$191.63","246"
"Arkansas","$351.91","642","$182.46","605","$129.67","126"
"California","$246.94","13202","$192.93","14179","$192.34","846"
"Colorado","$237.64","2458","$197.49","2033","$226.03","146"
"Connecticut","$346.37","1410","$275.42","1479","$252.31","95"
"Delaware","$371.76","383","$226.54","310","$206.61","36"
"District of Columbia","$348.76","484","$292.29","395","$208.53","41"
"Florida","$305.1","7290","$219.51","5946","$151.95","562"
"Georgia","$329.9","3435","$214.6","2527","$151.82","243"
"Hawaii","$307.83","356","$275.92","389","$167.62","27"
"Idaho","$275.86","341","$256.33","502","$140.27","26"
"Illinois","$358.14","4423","$286.98","4034","$176.11","367"
"Indiana","$334.49","1862","$208.98","1639","$168.09","263"
"Iowa","$371.29","760","$291.28","733","$247.69","107"
"Kansas","$352.22","917","$263","719","$121.53","116"
"Kentucky","$337.19","1130","$182.47","1096","$125.1","145"
"Louisiana","$371.31","1185","$243.03","982","$147.58","253"
"Maine","$319.16","494","$258.86","475","$213.48","53"
"Montana","$269.41","620","$256.54","292","$704.89","23"
"Nebraska","$347.48","565","$249.22","556","$140.63","67"
"Nevada","$268.55","976","$217.8","1048","$252.49","63"
"New Hampshire","$369.89","472","$290.65","493","$677.38","41"
"New Jersey","$353.36","2427","$292.05","3113","$231.72","212"
"New Mexico","$291.21","621","$215.04","481","$75.12","44"
"New York","$350.98","6300","$267.14","6476","$205.36","517"
"North Carolina","$354.16","3104","$246.68","2158","$151.27","246"
"North Dakota","$401.42","161","$355.14","231","$347.51","17"
"Ohio","$335.7","3357","$213.94","3171","$165.86","434"
"Oklahoma","$364.69","833","$228.15","764","$118.75","148"
"Oregon","$211.25","1757","$188.62","1473","$169.42","70"
"Maryland","$378.1","2182","$250.5","1744","$190.34","165"
"Massachusetts","$351.1","3143","$294.8","2737","$219.26","236"
"Michigan","$296.79","3291","$273.11","2794","$229.56","243"
"Minnesota","$367.87","1878","$277.5","1750","$179.7","104"
"Mississippi","$342.31","464","$147.19","397","$137.97","116"
"Missouri","$367.44","1740","$243.81","1452","$149.74","220"
"Pennsylvania","$369.58","4286","$266.9","3641","$190.54","402"
"Rhode Island","$331.93","576","$258.73","398","$201.75","34"
"South Carolina","$345.95","1289","$203.03","1016","$191.65","134"
"South Dakota","$388.48","178","$353.22","186","$124.17","21"
"Tennessee","$356.7","1718","$226.69","1393","$191.2","170"
"Texas","$341.14","6605","$235.19","6408","$143.88","942"
"Utah","$292.31","748","$235.01","772","$187.19","48"
"Vermont","$377.23","295","$320.55","259","$190.36","26"
"Virginia","$372.36","2704","$288.26","2215","$225.25","227"
"Washington","$234.44","2575","$191.76","2602","$146.45","118"
"West Virginia","$360.31","413","$216.01","412","$160.38","43"
"Wisconsin","$356.62","1776","$269.96","1547","$240.15","139"
"Wyoming","$355.18","99","$376.85","146","$161.3","11"
