"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","339.14","1454","204.7","1349","I feel bad for these guys -->","172"
"Alaska","290.61","338","262.16","436","I feel bad for these guys -->","37"
"Arizona","300.35","2499","210.42","2256","I feel bad for these guys -->","295"
"Arkansas","343.99","806","179.79","769","I feel bad for these guys -->","140"
"California","245.11","15709","190.96","17796","I feel bad for these guys -->","1026"
"Colorado","237.49","2972","196.33","2613","I feel bad for these guys -->","172"
"Connecticut","340.02","1718","270.29","1899","I feel bad for these guys -->","116"
"Delaware","363.53","470","234.19","405","I feel bad for these guys -->","39"
"District of Columbia","350.3","614","284.26","532","I feel bad for these guys -->","48"
"Florida","301.5","8901","217.91","7616","I feel bad for these guys -->","660"
"Georgia","325.75","4187","217.12","3196","I feel bad for these guys -->","289"
"Hawaii","310.95","427","267.3","483","I feel bad for these guys -->","29"
"Idaho","275.98","418","247.09","623","I feel bad for these guys -->","35"
"Illinois","355.6","5320","283.02","5135","I feel bad for these guys -->","428"
"Indiana","332.09","2252","213.68","2094","I feel bad for these guys -->","314"
"Iowa","365.35","922","288.69","947","I feel bad for these guys -->","115"
"Kansas","351.21","1104","261.7","931","I feel bad for these guys -->","133"
"Kentucky","339.72","1391","174.12","1394","I feel bad for these guys -->","174"
"Louisiana","364.83","1442","240.74","1261","I feel bad for these guys -->","300"
"Maine","315.67","586","243.85","610","I feel bad for these guys -->","59"
"Montana","265.81","712","241.74","351","I feel bad for these guys -->","30"
"Nebraska","340.52","668","247.53","674","I feel bad for these guys -->","74"
"Nevada","267.11","1168","229.34","1320","I feel bad for these guys -->","76"
"New Hampshire","356.1","559","290.4","619","I feel bad for these guys -->","51"
"New Jersey","348.03","2903","287.79","3899","I feel bad for these guys -->","243"
"New Mexico","288.26","745","213.43","610","I feel bad for these guys -->","61"
"New York","346.11","7440","264.75","8118","I feel bad for these guys -->","592"
"North Carolina","347.39","3829","245.66","2806","I feel bad for these guys -->","296"
"North Dakota","393.66","198","342.44","304","I feel bad for these guys -->","22"
"Ohio","333.93","4011","217.56","3992","I feel bad for these guys -->","520"
"Oklahoma","363","1024","234.64","992","I feel bad for these guys -->","182"
"Oregon","207.66","2073","181.5","1854","I feel bad for these guys -->","86"
"Maryland","368.74","2691","256.06","2277","I feel bad for these guys -->","188"
"Massachusetts","348.86","3816","287.57","3505","I feel bad for these guys -->","276"
"Michigan","290.58","3833","271.94","3479","I feel bad for these guys -->","285"
"Minnesota","353.72","2249","274.57","2288","I feel bad for these guys -->","119"
"Mississippi","337.1","575","146.74","507","I feel bad for these guys -->","135"
"Missouri","353.02","2098","245.97","1963","I feel bad for these guys -->","283"
"Pennsylvania","364.28","5241","268.86","4593","I feel bad for these guys -->","482"
"Rhode Island","318.8","679","259.8","507","I feel bad for these guys -->","46"
"South Carolina","340.6","1580","203.46","1299","I feel bad for these guys -->","157"
"South Dakota","377.08","208","348.54","233","I feel bad for these guys -->","25"
"Tennessee","351.37","2105","226.31","1766","I feel bad for these guys -->","204"
"Texas","336.83","7789","233.04","7954","I feel bad for these guys -->","1098"
"Utah","287.35","898","238.26","980","I feel bad for these guys -->","58"
"Vermont","372.4","341","311.57","342","I feel bad for these guys -->","30"
"Virginia","367.08","3293","292.92","2860","I feel bad for these guys -->","265"
"Washington","233.36","3154","189.6","3315","I feel bad for these guys -->","146"
"West Virginia","356.15","518","218.52","506","I feel bad for these guys -->","58"
"Wisconsin","351.8","2118","272.74","2039","I feel bad for these guys -->","156"
"Wyoming","329.04","121","353.86","178","I feel bad for these guys -->","12"
