"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","339.11","1472","205.46","1380","I feel bad for these guys -->","178"
"Alaska","290.79","342","268.77","451","I feel bad for these guys -->","37"
"Arizona","300.2","2535","210.52","2295","I feel bad for these guys -->","298"
"Arkansas","344.1","820","206.34","786","I feel bad for these guys -->","141"
"California","244.71","15937","190.35","18212","I feel bad for these guys -->","1048"
"Colorado","237.02","3021","195.69","2691","I feel bad for these guys -->","174"
"Connecticut","339.52","1761","268.96","1948","I feel bad for these guys -->","118"
"Delaware","364.09","474","236.03","412","I feel bad for these guys -->","40"
"District of Columbia","349.75","632","281.43","551","I feel bad for these guys -->","48"
"Florida","301.03","9043","217.79","7773","I feel bad for these guys -->","668"
"Georgia","325.44","4250","217.26","3270","I feel bad for these guys -->","294"
"Hawaii","311.93","432","266.37","490","I feel bad for these guys -->","29"
"Idaho","275.42","428","246.19","640","I feel bad for these guys -->","35"
"Illinois","355.37","5400","283.05","5245","I feel bad for these guys -->","434"
"Indiana","332.3","2291","213.84","2138","I feel bad for these guys -->","316"
"Iowa","365.07","938","289.29","981","I feel bad for these guys -->","115"
"Kansas","350.55","1122","261.38","945","I feel bad for these guys -->","134"
"Kentucky","338.75","1423","182.33","1426","I feel bad for these guys -->","174"
"Louisiana","364.01","1460","241.72","1292","I feel bad for these guys -->","305"
"Maine","315.25","593","244.53","625","I feel bad for these guys -->","59"
"Montana","265.96","718","241.58","356","I feel bad for these guys -->","31"
"Nebraska","338.21","676","246.57","690","I feel bad for these guys -->","75"
"Nevada","267.27","1188","228.11","1356","I feel bad for these guys -->","78"
"New Hampshire","355.81","570","296.23","630","I feel bad for these guys -->","51"
"New Jersey","346.47","2958","287.44","3995","I feel bad for these guys -->","248"
"New Mexico","288.15","760","203.52","623","I feel bad for these guys -->","62"
"New York","345.41","7566","264.51","8298","I feel bad for these guys -->","605"
"North Carolina","346.9","3912","244.94","2866","I feel bad for these guys -->","303"
"North Dakota","398.37","203","341.75","305","I feel bad for these guys -->","23"
"Ohio","333.18","4075","218.04","4069","I feel bad for these guys -->","531"
"Oklahoma","358.58","1042","235.18","1017","I feel bad for these guys -->","187"
"Oregon","207.16","2109","181.53","1922","I feel bad for these guys -->","90"
"Maryland","367.62","2741","255.87","2329","I feel bad for these guys -->","189"
"Massachusetts","347.89","3878","287.71","3584","I feel bad for these guys -->","279"
"Michigan","290.16","3876","270.85","3564","I feel bad for these guys -->","286"
"Minnesota","352.9","2287","273.89","2334","I feel bad for these guys -->","122"
"Mississippi","336.95","583","148.51","520","I feel bad for these guys -->","138"
"Missouri","352.56","2133","245.58","2012","I feel bad for these guys -->","288"
"Pennsylvania","364.16","5322","268.86","4705","I feel bad for these guys -->","488"
"Rhode Island","317.8","696","260.91","523","I feel bad for these guys -->","46"
"South Carolina","339.1","1611","204.81","1340","I feel bad for these guys -->","161"
"South Dakota","377.52","213","349.19","239","I feel bad for these guys -->","25"
"Tennessee","350.48","2142","225.65","1807","I feel bad for these guys -->","207"
"Texas","336.13","7923","232.95","8121","I feel bad for these guys -->","1112"
"Utah","291.47","921","237.68","1000","I feel bad for these guys -->","59"
"Vermont","372.5","346","310.91","351","I feel bad for these guys -->","31"
"Virginia","366.26","3353","292.28","2934","I feel bad for these guys -->","273"
"Washington","233.75","3219","190.73","3391","I feel bad for these guys -->","151"
"West Virginia","357.25","530","220.48","519","I feel bad for these guys -->","59"
"Wisconsin","351.33","2156","274.39","2084","I feel bad for these guys -->","160"
"Wyoming","326.51","122","353.44","181","I feel bad for these guys -->","12"
