"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","340.55","1398","204.17","1267","144.98","161"
"Alaska","289.81","327","260.69","407","403.33","33"
"Arizona","300.37","2418","209.61","2146","185.78","283"
"Arkansas","346.66","760","180.21","729","126.1","135"
"California","245.17","15181","191.47","16971","188.7","992"
"Colorado","237.91","2852","196.96","2467","226.77","168"
"Connecticut","341.08","1636","271.84","1765","249.99","107"
"Delaware","365.88","448","230.27","380","204.86","39"
"District of Columbia","346.73","580","288.55","496","209.83","47"
"Florida","302.75","8526","217.67","7207","151.18","638"
"Georgia","326.45","4021","216.43","3054","145.43","282"
"Hawaii","310","417","266.68","464","174.23","29"
"Idaho","277.1","395","248.89","590","163.53","32"
"Illinois","355.84","5105","283.18","4838","193.39","412"
"Indiana","333.17","2149","211.45","1978","155.34","302"
"Iowa","366.28","879","289.67","900","249.3","112"
"Kansas","351.07","1061","261.67","884","121.73","130"
"Kentucky","338.39","1338","183.58","1322","123.31","167"
"Louisiana","366.31","1388","244.83","1202","144.08","293"
"Maine","315.55","560","254.23","578","272.95","59"
"Montana","266.83","686","248.81","338","571.68","30"
"Nebraska","341.57","641","250.94","643","133.37","73"
"Nevada","268.1","1125","229.35","1263","234.29","76"
"New Hampshire","356.61","539","291.25","587","617.09","46"
"New Jersey","348.63","2790","288.14","3704","224.67","238"
"New Mexico","289.21","712","201","575","94.88","58"
"New York","346.12","7163","265.28","7726","208.36","575"
"North Carolina","349.24","3659","245.99","2649","151.42","285"
"North Dakota","405.46","186","365.33","272","336.51","21"
"Ohio","334.5","3857","217.47","3806","165.3","503"
"Oklahoma","363.39","962","232.28","935","122.6","175"
"Oregon","208.66","1994","183.45","1757","177.42","84"
"Maryland","370.25","2567","252.52","2150","187.01","181"
"Massachusetts","350.33","3674","288.78","3301","221.68","269"
"Michigan","291.17","3702","274.46","3322","265.05","272"
"Minnesota","355.4","2158","276.1","2151","183.94","115"
"Mississippi","336.94","545","146.44","480","145.17","130"
"Missouri","357.45","2006","246.03","1845","146.1","273"
"Pennsylvania","366.06","4999","268.11","4364","192.86","469"
"Rhode Island","321.36","657","257.92","474","209.65","41"
"South Carolina","342","1510","202.02","1236","185.3","152"
"South Dakota","377.11","196","348.33","228","123.94","22"
"Tennessee","352.93","2023","225.84","1665","184.52","197"
"Texas","336.89","7534","232.32","7617","144.1","1065"
"Utah","287.36","870","238.72","929","207.35","57"
"Vermont","374.78","332","317.5","319","190.76","28"
"Virginia","366.79","3147","292.09","2699","224.37","256"
"Washington","232.7","3019","189.61","3152","136.53","143"
"West Virginia","354.79","495","214.11","478","145.37","55"
"Wisconsin","352.75","2024","271.75","1911","252.51","148"
"Wyoming","330.41","117","356.25","170","161.3","12"
