"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","339.42","1493","205.59","1399","I feel bad for these guys -->","178"
"Alaska","290.67","346","269.83","456","I feel bad for these guys -->","37"
"Arizona","299.91","2571","210.42","2332","I feel bad for these guys -->","299"
"Arkansas","343.8","826","206.24","806","I feel bad for these guys -->","141"
"California","244.37","16132","190.23","18493","I feel bad for these guys -->","1063"
"Colorado","243.91","3057","195.67","2745","I feel bad for these guys -->","175"
"Connecticut","338.95","1783","268.87","1984","I feel bad for these guys -->","120"
"Delaware","363.92","477","235.73","417","I feel bad for these guys -->","40"
"District of Columbia","348.6","641","281.89","563","I feel bad for these guys -->","49"
"Florida","302.11","9142","217.44","7901","I feel bad for these guys -->","676"
"Georgia","324.76","4294","217.32","3330","I feel bad for these guys -->","302"
"Hawaii","309.87","438","266.39","498","I feel bad for these guys -->","29"
"Idaho","275.07","433","245.8","652","I feel bad for these guys -->","35"
"Illinois","354.84","5464","283.13","5341","I feel bad for these guys -->","436"
"Indiana","332.82","2326","213.77","2167","I feel bad for these guys -->","319"
"Iowa","365.33","950","289.25","1004","I feel bad for these guys -->","118"
"Kansas","350.06","1128","262.09","960","I feel bad for these guys -->","135"
"Kentucky","338.51","1448","173.79","1453","I feel bad for these guys -->","176"
"Louisiana","363.43","1477","240.77","1311","I feel bad for these guys -->","309"
"Maine","315.06","599","236.01","641","I feel bad for these guys -->","60"
"Montana","265.8","722","241.84","362","I feel bad for these guys -->","32"
"Nebraska","337.81","682","246.76","700","I feel bad for these guys -->","75"
"Nevada","266.53","1201","227.03","1378","I feel bad for these guys -->","78"
"New Hampshire","355.16","579","295.13","637","I feel bad for these guys -->","51"
"New Jersey","346.13","2985","287.07","4055","I feel bad for these guys -->","251"
"New Mexico","288.36","773","215.74","641","I feel bad for these guys -->","65"
"New York","345.03","7645","264.23","8434","I feel bad for these guys -->","611"
"North Carolina","346.37","3974","245.35","2925","I feel bad for these guys -->","308"
"North Dakota","397.09","204","345.27","311","I feel bad for these guys -->","23"
"Ohio","333.29","4124","218.55","4134","I feel bad for these guys -->","534"
"Oklahoma","356.56","1067","234.75","1033","I feel bad for these guys -->","189"
"Oregon","206.71","2131","181.19","1960","I feel bad for these guys -->","91"
"Maryland","366.97","2787","255.12","2373","I feel bad for these guys -->","191"
"Massachusetts","347.48","3910","286.87","3662","I feel bad for these guys -->","281"
"Michigan","289.26","3913","270.79","3617","I feel bad for these guys -->","290"
"Minnesota","352.63","2299","274.31","2379","I feel bad for these guys -->","122"
"Mississippi","337.43","586","148.22","525","I feel bad for these guys -->","140"
"Missouri","352.05","2160","245.41","2042","I feel bad for these guys -->","291"
"Pennsylvania","363.5","5375","268.94","4791","I feel bad for these guys -->","494"
"Rhode Island","317.87","706","260.09","537","I feel bad for these guys -->","46"
"South Carolina","338.67","1632","204.86","1359","I feel bad for these guys -->","161"
"South Dakota","356.93","217","348.91","247","I feel bad for these guys -->","25"
"Tennessee","349.68","2172","225.63","1837","I feel bad for these guys -->","212"
"Texas","335.43","8012","233.04","8260","I feel bad for these guys -->","1128"
"Utah","290.89","937","237.53","1012","I feel bad for these guys -->","60"
"Vermont","371.8","351","309.92","354","I feel bad for these guys -->","32"
"Virginia","365.82","3395","292.61","2979","I feel bad for these guys -->","279"
"Washington","233.73","3257","189.26","3455","I feel bad for these guys -->","154"
"West Virginia","358.42","535","220.62","522","I feel bad for these guys -->","59"
"Wisconsin","350.95","2179","274.22","2118","I feel bad for these guys -->","162"
"Wyoming","326.84","126","353.74","185","I feel bad for these guys -->","12"
