"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","339.36","1430","204.39","1315","I feel bad for these guys -->","164"
"Alaska","291.47","333","261.97","427","I feel bad for these guys -->","35"
"Arizona","300.28","2453","210.61","2206","I feel bad for these guys -->","291"
"Arkansas","345.13","782","180.25","751","I feel bad for these guys -->","138"
"California","245.01","15486","190.87","17451","I feel bad for these guys -->","1003"
"Colorado","237.58","2915","196.88","2547","I feel bad for these guys -->","169"
"Connecticut","340.84","1686","270.9","1835","I feel bad for these guys -->","113"
"Delaware","365.31","459","233.75","399","I feel bad for these guys -->","39"
"District of Columbia","350.56","608","288.92","518","I feel bad for these guys -->","48"
"Florida","301.94","8758","217.93","7471","I feel bad for these guys -->","651"
"Georgia","326.67","4124","217.42","3148","I feel bad for these guys -->","287"
"Hawaii","310.34","421","268.27","477","I feel bad for these guys -->","29"
"Idaho","275.94","406","247.86","609","I feel bad for these guys -->","34"
"Illinois","356.21","5243","283.22","5030","I feel bad for these guys -->","420"
"Indiana","332.6","2220","213.88","2052","I feel bad for these guys -->","310"
"Iowa","365.64","900","288.65","927","I feel bad for these guys -->","114"
"Kansas","350.69","1084","262.74","908","I feel bad for these guys -->","130"
"Kentucky","338.75","1371","174.07","1362","I feel bad for these guys -->","170"
"Louisiana","365.38","1420","243.73","1238","I feel bad for these guys -->","299"
"Maine","314.94","570","244.56","600","I feel bad for these guys -->","59"
"Montana","265.99","703","250.51","345","I feel bad for these guys -->","30"
"Nebraska","340.23","657","249.86","664","I feel bad for these guys -->","74"
"Nevada","267.94","1150","229.73","1301","I feel bad for these guys -->","76"
"New Hampshire","356.62","551","290.94","604","I feel bad for these guys -->","47"
"New Jersey","348.43","2862","287.57","3822","I feel bad for these guys -->","240"
"New Mexico","288.09","732","203.19","597","I feel bad for these guys -->","59"
"New York","346.43","7329","264.86","7965","I feel bad for these guys -->","584"
"North Carolina","347.84","3762","245.34","2735","I feel bad for these guys -->","289"
"North Dakota","393.75","194","347.27","288","I feel bad for these guys -->","22"
"Ohio","334.29","3944","217.99","3920","I feel bad for these guys -->","514"
"Oklahoma","364.74","1000","234.19","970","I feel bad for these guys -->","177"
"Oregon","208.05","2041","182.13","1811","I feel bad for these guys -->","85"
"Maryland","369.58","2632","253.23","2227","I feel bad for these guys -->","185"
"Massachusetts","349.27","3761","288.38","3424","I feel bad for these guys -->","274"
"Michigan","290.63","3784","273.39","3403","I feel bad for these guys -->","277"
"Minnesota","354.24","2191","275.51","2222","I feel bad for these guys -->","118"
"Mississippi","337.31","558","145.48","495","I feel bad for these guys -->","134"
"Missouri","357.73","2064","245.96","1918","I feel bad for these guys -->","278"
"Pennsylvania","365.16","5118","268.18","4496","I feel bad for these guys -->","478"
"Rhode Island","319.82","670","258.14","489","I feel bad for these guys -->","43"
"South Carolina","340.61","1552","203.41","1267","I feel bad for these guys -->","156"
"South Dakota","377.14","205","348.54","233","I feel bad for these guys -->","25"
"Tennessee","351.79","2067","226.78","1714","I feel bad for these guys -->","203"
"Texas","336.78","7678","232.57","7815","I feel bad for these guys -->","1089"
"Utah","287.9","890","238.17","964","I feel bad for these guys -->","58"
"Vermont","374.09","336","313.62","334","I feel bad for these guys -->","29"
"Virginia","366.72","3227","291.9","2792","I feel bad for these guys -->","262"
"Washington","233.19","3096","189.42","3249","I feel bad for these guys -->","145"
"West Virginia","354.44","509","217.07","498","I feel bad for these guys -->","57"
"Wisconsin","352.21","2078","272.56","1986","I feel bad for these guys -->","154"
"Wyoming","328.51","119","355.57","175","I feel bad for these guys -->","12"
