"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$339.32","1089","$200.07","980","$152.02","129"
"Alaska","$288.81","265","$263.42","307","$388.58","26"
"Arizona","$303.14","2013","$210.21","1700","$195.96","228"
"Arkansas","$359.17","601","$183.06","571","$127.51","118"
"California","$248.28","12544","$192.86","13374","$192.01","803"
"Colorado","$237.28","2304","$198.5","1889","$223.47","138"
"Connecticut","$347.05","1343","$273.85","1384","$252.88","94"
"Delaware","$372.87","361","$225.52","283","$199.88","34"
"District of Columbia","$349.35","462","$293.71","368","$211.38","40"
"Florida","$306.06","6804","$219.68","5507","$157.05","531"
"Georgia","$332.07","3233","$214.39","2368","$154.46","234"
"Hawaii","$307.73","337","$272.64","369","$162.11","26"
"Idaho","$275.3","327","$257.17","464","$133.75","22"
"Illinois","$356.91","4176","$287.48","3804","$176.48","350"
"Indiana","$335.87","1742","$207.69","1520","$161.44","255"
"Iowa","$370.03","723","$292.3","682","$251.78","105"
"Kansas","$354.96","862","$261.56","668","$113.7","111"
"Kentucky","$338.84","1056","$181.62","1028","$125.11","138"
"Louisiana","$374.61","1132","$242.75","910","$150.16","238"
"Maine","$319.11","471","$260.26","450","$214.8","52"
"Montana","$271.29","600","$251.68","270","$734.65","22"
"Nebraska","$350.28","532","$248.44","530","$142.51","63"
"Nevada","$270.53","934","$219.2","969","$252.49","63"
"New Hampshire","$376.92","449","$286.06","471","$561.24","39"
"New Jersey","$354.96","2318","$292.86","2924","$229.56","196"
"New Mexico","$293.77","585","$205.27","452","$63.7","42"
"New York","$352.31","6037","$268.59","6102","$190.35","496"
"North Carolina","$355.35","2915","$247.57","1995","$151.42","236"
"North Dakota","$408.78","142","$335.38","216","$331.9","15"
"Ohio","$336.66","3176","$213.53","2955","$167.48","413"
"Oklahoma","$364.48","790","$228.28","714","$120.38","135"
"Oregon","$212.56","1673","$188.87","1382","$174.1","64"
"Maryland","$379.52","2055","$250.23","1636","$194.99","154"
"Massachusetts","$353.04","2991","$296.95","2573","$219.23","225"
"Michigan","$298.25","3159","$276.76","2639","$228.04","233"
"Minnesota","$370.27","1781","$278.57","1619","$181.28","103"
"Mississippi","$338.56","428","$148.41","368","$145.96","103"
"Missouri","$367.36","1628","$241.81","1350","$150.15","213"
"Pennsylvania","$371.58","4014","$265.82","3390","$193.3","383"
"Rhode Island","$333.51","545","$261.48","375","$201.75","34"
"South Carolina","$346.21","1207","$202.53","946","$171.2","125"
"South Dakota","$389.9","170","$368.26","173","$125.68","20"
"Tennessee","$358.08","1623","$225.29","1297","$198.11","155"
"Texas","$341.96","6230","$236.13","5954","$142.88","888"
"Utah","$292.91","711","$233.04","715","$168.59","44"
"Vermont","$378","287","$320.94","240","$187.64","25"
"Virginia","$373.85","2583","$287.66","2069","$226.35","217"
"Washington","$235.47","2431","$191.24","2461","$155","112"
"West Virginia","$364.28","379","$197.3","389","$158.3","41"
"Wisconsin","$357.89","1695","$270.57","1449","$233.39","133"
"Wyoming","$354.03","94","$378.64","137","$161.3","11"
