"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","339.19","1520","207.11","1434","I feel bad for these guys -->","181"
"Alaska","303.02","350","270.83","465","I feel bad for these guys -->","37"
"Arizona","298.96","2609","209.48","2388","I feel bad for these guys -->","305"
"Arkansas","342.49","835","207.54","820","I feel bad for these guys -->","145"
"California","244.06","16361","189.73","18894","I feel bad for these guys -->","1079"
"Colorado","243.72","3106","195.14","2823","I feel bad for these guys -->","177"
"Connecticut","337.53","1816","267.68","2043","I feel bad for these guys -->","124"
"Delaware","363.81","485","235.27","424","I feel bad for these guys -->","41"
"District of Columbia","349.18","649","282.57","571","I feel bad for these guys -->","49"
"Florida","301.37","9265","217.27","8056","I feel bad for these guys -->","690"
"Georgia","324.3","4381","217.4","3413","I feel bad for these guys -->","303"
"Hawaii","308.13","450","264.86","509","I feel bad for these guys -->","30"
"Idaho","274.55","441","244.96","668","I feel bad for these guys -->","35"
"Illinois","354.17","5563","282.75","5446","I feel bad for these guys -->","444"
"Indiana","332.52","2365","214.86","2213","I feel bad for these guys -->","326"
"Iowa","364.83","964","289.28","1022","I feel bad for these guys -->","119"
"Kansas","350.21","1141","260.64","980","I feel bad for these guys -->","138"
"Kentucky","338.99","1471","174.24","1485","I feel bad for these guys -->","178"
"Louisiana","361.79","1499","240.68","1334","I feel bad for these guys -->","315"
"Maine","311.9","612","234.58","651","I feel bad for these guys -->","61"
"Montana","265.76","730","241.42","364","I feel bad for these guys -->","32"
"Nebraska","336.14","693","245.83","711","I feel bad for these guys -->","76"
"Nevada","266.63","1221","227.07","1411","I feel bad for these guys -->","78"
"New Hampshire","354.56","592","289.83","643","I feel bad for these guys -->","51"
"New Jersey","345.65","3032","286.79","4132","I feel bad for these guys -->","255"
"New Mexico","288.1","791","218.11","655","I feel bad for these guys -->","67"
"New York","344.49","7760","263.84","8602","I feel bad for these guys -->","614"
"North Carolina","345.83","4045","246.34","2982","I feel bad for these guys -->","311"
"North Dakota","396.93","207","340.05","323","I feel bad for these guys -->","23"
"Ohio","332.89","4193","219.19","4210","I feel bad for these guys -->","543"
"Oklahoma","354.99","1093","237.6","1054","I feel bad for these guys -->","193"
"Oregon","206.37","2158","181.07","1993","I feel bad for these guys -->","91"
"Maryland","366.53","2829","255.42","2426","I feel bad for these guys -->","193"
"Massachusetts","346.72","3956","286.35","3730","I feel bad for these guys -->","284"
"Michigan","288.76","3965","271.16","3686","I feel bad for these guys -->","292"
"Minnesota","351.98","2331","273.47","2432","I feel bad for these guys -->","126"
"Mississippi","334.69","599","150.13","539","I feel bad for these guys -->","141"
"Missouri","351.69","2191","245.86","2084","I feel bad for these guys -->","294"
"Pennsylvania","363.3","5470","269.72","4904","I feel bad for these guys -->","501"
"Rhode Island","316.88","717","260.04","552","I feel bad for these guys -->","47"
"South Carolina","337.8","1667","206.14","1392","I feel bad for these guys -->","161"
"South Dakota","354.96","221","348.18","253","I feel bad for these guys -->","25"
"Tennessee","348.78","2213","225.45","1879","I feel bad for these guys -->","215"
"Texas","334.61","8142","233.25","8430","I feel bad for these guys -->","1139"
"Utah","290.85","952","238.28","1043","I feel bad for these guys -->","61"
"Vermont","371.85","354","308.94","360","I feel bad for these guys -->","32"
"Virginia","365.34","3459","292.28","3041","I feel bad for these guys -->","282"
"Washington","233.03","3311","188.67","3520","I feel bad for these guys -->","160"
"West Virginia","359.08","546","222.38","535","I feel bad for these guys -->","60"
"Wisconsin","350.89","2216","274.4","2171","I feel bad for these guys -->","166"
"Wyoming","322.86","129","345.11","193","I feel bad for these guys -->","12"
