"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","335.48","1594","209.99","1547","I feel bad for these guys -->","197"
"Alaska","303.78","363","271.32","498","I feel bad for these guys -->","37"
"Arizona","296.8","2753","208.22","2553","I feel bad for these guys -->","319"
"Arkansas","341.57","882","208.65","875","I feel bad for these guys -->","150"
"California","243.02","17030","188.87","19929","I feel bad for these guys -->","1135"
"Colorado","242.6","3266","195.97","3014","I feel bad for these guys -->","189"
"Connecticut","336.22","1886","267.04","2164","I feel bad for these guys -->","131"
"Delaware","363.18","509","235.65","456","I feel bad for these guys -->","44"
"District of Columbia","348.46","685","284.63","621","I feel bad for these guys -->","49"
"Florida","300.12","9733","216.2","8641","I feel bad for these guys -->","721"
"Georgia","322.44","4642","217.48","3662","I feel bad for these guys -->","315"
"Hawaii","307.21","470","262.08","546","I feel bad for these guys -->","31"
"Idaho","275.02","470","243.36","699","I feel bad for these guys -->","36"
"Illinois","352.21","5838","282.04","5789","I feel bad for these guys -->","463"
"Indiana","331.56","2477","217.58","2354","I feel bad for these guys -->","337"
"Iowa","364.08","1006","289.47","1102","I feel bad for these guys -->","123"
"Kansas","349.12","1200","258.6","1060","I feel bad for these guys -->","145"
"Kentucky","338.16","1556","173.22","1579","I feel bad for these guys -->","183"
"Louisiana","360.28","1591","241.39","1426","I feel bad for these guys -->","333"
"Maine","304.96","633","234.38","690","I feel bad for these guys -->","65"
"Montana","265.26","752","246.88","386","I feel bad for these guys -->","32"
"Nebraska","335.11","717","242.83","769","I feel bad for these guys -->","76"
"Nevada","265.7","1289","226.31","1492","I feel bad for these guys -->","80"
"New Hampshire","352.75","616","287.48","685","I feel bad for these guys -->","52"
"New Jersey","345.32","3183","285.43","4418","I feel bad for these guys -->","263"
"New Mexico","288.09","833","219.19","689","I feel bad for these guys -->","71"
"New York","342.96","8105","262.87","9112","I feel bad for these guys -->","635"
"North Carolina","344.74","4286","246","3185","I feel bad for these guys -->","331"
"North Dakota","384.23","217","319.77","347","I feel bad for these guys -->","26"
"Ohio","332.55","4417","220.06","4508","I feel bad for these guys -->","566"
"Oklahoma","352.14","1171","238.64","1118","I feel bad for these guys -->","200"
"Oregon","205.59","2248","180.37","2113","I feel bad for these guys -->","99"
"Maryland","362.26","2991","268.17","2602","I feel bad for these guys -->","198"
"Massachusetts","343.79","4124","283.9","3979","I feel bad for these guys -->","294"
"Michigan","287.53","4105","268.65","3904","I feel bad for these guys -->","306"
"Minnesota","347.71","2473","273.25","2618","I feel bad for these guys -->","135"
"Mississippi","334.36","644","151.39","585","I feel bad for these guys -->","152"
"Missouri","349","2304","245.94","2230","I feel bad for these guys -->","307"
"Pennsylvania","362.04","5727","269.42","5227","I feel bad for these guys -->","523"
"Rhode Island","316.33","737","256.56","597","I feel bad for these guys -->","47"
"South Carolina","336.67","1769","205.84","1472","I feel bad for these guys -->","166"
"South Dakota","359.66","225","348.01","267","I feel bad for these guys -->","26"
"Tennessee","347.67","2329","226.12","2022","I feel bad for these guys -->","233"
"Texas","332.76","8554","232.32","9027","I feel bad for these guys -->","1181"
"Utah","289.03","992","235.7","1118","I feel bad for these guys -->","66"
"Vermont","369.12","373","305.9","387","I feel bad for these guys -->","32"
"Virginia","364.18","3652","290.71","3258","I feel bad for these guys -->","295"
"Washington","232.66","3457","188.6","3724","I feel bad for these guys -->","162"
"West Virginia","357.85","573","225.17","577","I feel bad for these guys -->","60"
"Wisconsin","348.22","2326","271.32","2355","I feel bad for these guys -->","171"
"Wyoming","322.28","134","349.08","205","I feel bad for these guys -->","13"
