"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.62","1350","$203.83","1206","$147.74","156"
"Alaska","$287.96","320","$261.04","392","$407.31","32"
"Arizona","$300.94","2343","$209.16","2075","$186.63","277"
"Arkansas","$349.29","727","$182.17","702","$126.2","134"
"California","$245.41","14699","$191.87","16279","$189.23","958"
"Colorado","$238.21","2760","$196.52","2362","$229.01","161"
"Connecticut","$343.23","1568","$271.83","1694","$254.19","104"
"Delaware","$368.32","432","$229.41","362","$204.86","39"
"District of Columbia","$345.11","558","$290.49","470","$209.83","47"
"Florida","$302.36","8268","$217.78","6898","$151.99","618"
"Georgia","$326.92","3877","$215.54","2918","$146.25","276"
"Hawaii","$312.13","396","$273.8","450","$174.23","29"
"Idaho","$276.66","383","$249.95","571","$136.89","29"
"Illinois","$356","4922","$283.16","4610","$190.77","403"
"Indiana","$332.99","2086","$210.85","1900","$155.83","289"
"Iowa","$367.62","849","$289.51","852","$249.3","112"
"Kansas","$351.03","1020","$260.98","827","$122.23","129"
"Kentucky","$338.45","1284","$182","1276","$123.92","163"
"Louisiana","$366.22","1340","$245.63","1140","$143.14","281"
"Maine","$317.86","539","$246.1","558","$272.95","59"
"Montana","$267.24","671","$243.05","326","$609.45","28"
"Nebraska","$342.89","620","$250.68","615","$133.37","73"
"Nevada","$268.6","1087","$228.89","1201","$233.04","74"
"New Hampshire","$358.35","519","$289.44","565","$643","44"
"New Jersey","$350.01","2694","$288.29","3537","$227.48","229"
"New Mexico","$290.49","682","$202.07","559","$96.32","57"
"New York","$347.21","6920","$265.87","7403","$209.46","555"
"North Carolina","$350.18","3529","$245.13","2505","$148.96","273"
"North Dakota","$399.42","182","$365.31","266","$335.8","20"
"Ohio","$335.13","3721","$217.4","3658","$163.4","484"
"Oklahoma","$365.5","929","$234.24","902","$118.23","164"
"Oregon","$209.04","1932","$184.5","1681","$175.53","80"
"Maryland","$371.14","2464","$250.8","2036","$187.53","178"
"Massachusetts","$350.36","3543","$290.04","3137","$220.31","259"
"Michigan","$292.56","3598","$275.79","3202","$269.69","264"
"Minnesota","$358.41","2091","$277.12","2057","$184.78","112"
"Mississippi","$336.01","529","$145.89","458","$147.6","126"
"Missouri","$355.43","1951","$244.6","1755","$146.1","268"
"Pennsylvania","$366.72","4807","$267.03","4166","$191.84","444"
"Rhode Island","$323.83","629","$257.45","451","$199.96","40"
"South Carolina","$343.15","1448","$201.91","1179","$187.93","146"
"South Dakota","$381.16","191","$351.27","217","$123.94","22"
"Tennessee","$353.14","1960","$224.98","1599","$185.34","188"
"Texas","$338.02","7307","$232.49","7319","$144.39","1044"
"Utah","$289.63","839","$239.4","896","$204.58","56"
"Vermont","$375.57","327","$318.49","298","$190.36","27"
"Virginia","$368.03","3033","$291.51","2571","$222.89","249"
"Washington","$232.71","2911","$189.98","3014","$138.47","136"
"West Virginia","$353.53","477","$214.94","463","$158.21","51"
"Wisconsin","$353.37","1955","$271.65","1796","$237.56","145"
"Wyoming","$351.78","110","$359.34","162","$161.3","12"
