"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.51","1129","$202.65","1018","$146.33","133"
"Alaska","$285.1","277","$253.84","320","$388.58","26"
"Arizona","$303.4","2068","$210","1755","$195.14","238"
"Arkansas","$358.57","618","$182.87","584","$127.31","124"
"California","$248.09","12858","$192.92","13749","$191.19","823"
"Colorado","$237.41","2371","$197.85","1952","$227.89","143"
"Connecticut","$347.03","1374","$277.05","1439","$252.31","95"
"Delaware","$372.13","371","$227.49","290","$206.61","36"
"District of Columbia","$349.59","469","$293.32","383","$208.53","41"
"Florida","$305.43","7042","$219.67","5711","$153.17","541"
"Georgia","$331.43","3325","$213.59","2433","$152.99","237"
"Hawaii","$307.82","347","$273.56","376","$167.62","27"
"Idaho","$275.29","330","$257.86","483","$129.39","24"
"Illinois","$355.78","4311","$287.54","3907","$177.54","359"
"Indiana","$334.6","1809","$208.52","1566","$168.7","261"
"Iowa","$370.88","741","$293.05","705","$247.69","107"
"Kansas","$354.2","881","$261.82","692","$113.7","111"
"Kentucky","$338.5","1085","$181.4","1056","$124.52","142"
"Louisiana","$373.41","1159","$243.78","944","$148.11","246"
"Maine","$320.29","475","$259.8","465","$214.8","52"
"Montana","$269.98","611","$251.26","283","$734.65","22"
"Nebraska","$347.42","543","$248.39","544","$141.76","64"
"Nevada","$269.47","952","$218.82","1003","$252.49","63"
"New Hampshire","$376","459","$289.71","479","$677.38","41"
"New Jersey","$353.66","2369","$291.91","3007","$233.99","203"
"New Mexico","$291.94","603","$204.95","464","$63.7","42"
"New York","$351.29","6159","$267.99","6272","$189.78","505"
"North Carolina","$354.88","2992","$248.34","2058","$152.4","242"
"North Dakota","$406.34","150","$351.08","224","$363.11","16"
"Ohio","$336.43","3266","$213.67","3053","$166.06","424"
"Oklahoma","$365.71","811","$227.76","738","$118.86","140"
"Oregon","$211.87","1716","$188.85","1431","$169.34","68"
"Maryland","$380.06","2125","$250.13","1686","$191.08","159"
"Massachusetts","$352.02","3062","$296.31","2642","$221.4","229"
"Michigan","$297.69","3213","$274.93","2710","$225.49","238"
"Minnesota","$369.61","1822","$277.91","1678","$181.28","103"
"Mississippi","$339.31","446","$147.57","385","$140.88","110"
"Missouri","$367.72","1678","$242.18","1403","$149.4","217"
"Pennsylvania","$370.95","4158","$267.07","3500","$190.74","391"
"Rhode Island","$332.61","560","$260.29","384","$201.75","34"
"South Carolina","$346.24","1246","$202.57","981","$174.45","128"
"South Dakota","$389.69","175","$367.51","181","$124.17","21"
"Tennessee","$356.91","1670","$227.13","1336","$193.9","164"
"Texas","$341.66","6416","$235.73","6177","$144.16","918"
"Utah","$292.27","731","$234.06","748","$189.78","47"
"Vermont","$377.65","291","$320.87","251","$187.64","25"
"Virginia","$372.78","2639","$288.48","2137","$227.03","223"
"Washington","$235.3","2491","$191.25","2525","$146.19","116"
"West Virginia","$363.73","396","$216.08","399","$160.65","42"
"Wisconsin","$358.03","1733","$269.94","1491","$238.37","138"
"Wyoming","$351.81","96","$374.6","141","$161.3","11"
