"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$341","1265","$204.9","1135","$143.76","144"
"Alaska","$288.19","300","$256.42","357","$373.01","28"
"Arizona","$300.82","2232","$208.37","1948","$190.59","262"
"Arkansas","$352.11","687","$183.76","648","$129.02","128"
"California","$246.05","13863","$192.68","15156","$191.4","900"
"Colorado","$236.68","2607","$196.74","2195","$233.09","155"
"Connecticut","$344.95","1478","$272.34","1568","$251.03","100"
"Delaware","$369.76","405","$228.59","323","$209.72","38"
"District of Columbia","$347","512","$292","425","$209.83","47"
"Florida","$304.06","7775","$217.53","6390","$152.89","595"
"Georgia","$328.82","3639","$214.87","2716","$153.3","260"
"Hawaii","$314.53","377","$267.52","419","$165.55","28"
"Idaho","$276.18","358","$252.73","525","$139.21","27"
"Illinois","$356.36","4664","$286.28","4286","$189.41","386"
"Indiana","$334.94","1951","$210.36","1753","$156.68","278"
"Iowa","$368.73","802","$289.4","784","$247.1","110"
"Kansas","$350.31","964","$261.81","773","$118.41","121"
"Kentucky","$339.24","1200","$182.78","1178","$124.69","155"
"Louisiana","$369.4","1256","$244.64","1050","$145.8","266"
"Maine","$317.35","517","$257.62","514","$274.25","58"
"Montana","$268.17","640","$252.4","310","$645.6","26"
"Nebraska","$344.25","596","$251.27","583","$136.34","70"
"Nevada","$268.39","1032","$227.57","1109","$244.08","67"
"New Hampshire","$359.39","490","$291.36","523","$677.38","41"
"New Jersey","$351.43","2550","$290.72","3298","$224.99","221"
"New Mexico","$290.62","644","$201","520","$87.84","50"
"New York","$348.92","6577","$266.48","6864","$205.18","532"
"North Carolina","$352.04","3310","$244.3","2324","$150.56","257"
"North Dakota","$399.39","173","$350.39","245","$334.13","18"
"Ohio","$336.08","3533","$216.45","3399","$163.88","453"
"Oklahoma","$366.38","878","$234.87","823","$119.23","158"
"Oregon","$209.81","1822","$185.71","1563","$163.84","77"
"Maryland","$374.46","2308","$250.13","1874","$188.84","169"
"Massachusetts","$350.84","3310","$294.11","2910","$219.43","245"
"Michigan","$295.34","3426","$277.2","2967","$275.43","252"
"Minnesota","$366.95","1989","$276.54","1889","$183.45","108"
"Mississippi","$340.66","494","$146.42","426","$140.57","120"
"Missouri","$368.02","1832","$243.12","1594","$143.12","243"
"Pennsylvania","$368.01","4517","$267.54","3878","$195.57","427"
"Rhode Island","$330.62","595","$258.53","418","$208.36","35"
"South Carolina","$342.62","1365","$200.83","1086","$186.91","139"
"South Dakota","$382.94","183","$351.85","203","$123.94","22"
"Tennessee","$355.08","1825","$225.36","1485","$187.46","176"
"Texas","$339.1","6933","$234","6836","$142.7","990"
"Utah","$290.11","794","$240.01","828","$201.13","52"
"Vermont","$376.44","314","$321.01","277","$190.36","26"
"Virginia","$370.03","2855","$288.88","2373","$222","241"
"Washington","$233.39","2685","$190.36","2762","$141.86","124"
"West Virginia","$355.06","444","$214.78","433","$156.1","48"
"Wisconsin","$354.86","1859","$271.99","1664","$239.18","144"
"Wyoming","$350.72","108","$359.51","156","$161.3","11"
