"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.84","1337","$203.63","1196","$147.57","154"
"Alaska","$288.79","316","$261.18","386","$407.31","32"
"Arizona","$300.58","2321","$209.17","2054","$185.64","275"
"Arkansas","$349.29","727","$183.49","692","$126.2","134"
"California","$245.39","14539","$191.94","16092","$188.57","949"
"Colorado","$238.09","2734","$196.5","2320","$230.11","160"
"Connecticut","$343.38","1542","$271.55","1672","$254.19","104"
"Delaware","$367.66","426","$227.21","354","$204.86","39"
"District of Columbia","$345.75","550","$290.12","461","$209.83","47"
"Florida","$302.48","8192","$217.74","6801","$152.01","617"
"Georgia","$326.91","3846","$215.62","2896","$146.73","272"
"Hawaii","$312.12","391","$274.99","446","$165.55","28"
"Idaho","$276.83","380","$251.49","563","$136.89","28"
"Illinois","$355.82","4870","$283.47","4537","$190.65","402"
"Indiana","$333.04","2061","$210.28","1877","$155.98","288"
"Iowa","$366.98","840","$289.42","841","$246.4","111"
"Kansas","$350.11","1005","$260.7","822","$122.62","127"
"Kentucky","$338.06","1269","$173.35","1256","$123.41","161"
"Louisiana","$366.92","1325","$245.24","1125","$143.37","280"
"Maine","$317.46","536","$246.17","551","$272.95","59"
"Montana","$267.42","667","$251.01","319","$609.45","28"
"Nebraska","$343.3","615","$250.53","611","$133.37","73"
"Nevada","$267.86","1075","$229.05","1191","$234.33","73"
"New Hampshire","$358.5","516","$290.02","554","$643","44"
"New Jersey","$349.84","2656","$288.34","3495","$223.83","225"
"New Mexico","$290.39","673","$201.78","547","$96.93","56"
"New York","$347.02","6837","$265.83","7292","$209.44","554"
"North Carolina","$350.21","3487","$244.96","2484","$149.37","272"
"North Dakota","$398.95","179","$363.1","261","$335.8","20"
"Ohio","$335.43","3687","$216.9","3618","$162.27","480"
"Oklahoma","$365.32","917","$232.09","890","$118.22","163"
"Oregon","$208.85","1900","$184.86","1641","$175.53","80"
"Maryland","$371.44","2440","$250.8","2002","$187.53","178"
"Massachusetts","$350.57","3500","$292.92","3101","$223.24","253"
"Michigan","$293.08","3569","$276.51","3164","$270.6","262"
"Minnesota","$358.83","2073","$278.2","2014","$181.2","110"
"Mississippi","$335.64","526","$145.88","453","$148.49","124"
"Missouri","$356.92","1924","$244.08","1732","$146.19","265"
"Pennsylvania","$366.82","4754","$266.84","4128","$192.02","440"
"Rhode Island","$324.61","625","$256.1","446","$199.96","39"
"South Carolina","$343.23","1426","$202.04","1156","$188.56","145"
"South Dakota","$378.21","189","$351.27","216","$123.94","22"
"Tennessee","$353.29","1934","$224.92","1587","$186.57","185"
"Texas","$337.88","7242","$232.73","7228","$144.18","1033"
"Utah","$289.31","825","$238.86","889","$204.58","56"
"Vermont","$375.8","322","$319.57","291","$190.36","26"
"Virginia","$368.76","3005","$291.44","2539","$222.18","247"
"Washington","$232.05","2840","$189.94","2909","$138.47","136"
"West Virginia","$354.4","471","$215.1","459","$155.8","49"
"Wisconsin","$353.39","1935","$271.85","1776","$237.56","145"
"Wyoming","$351.78","110","$360.09","159","$161.3","12"
