"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$338.9","1087","$199.74","977","$152.02","129"
"Alaska","$288.81","265","$263.42","307","$388.58","26"
"Arizona","$303.36","2011","$210.01","1696","$195.96","228"
"Arkansas","$360.17","597","$182.51","569","$128.03","116"
"California","$248.23","12530","$192.91","13355","$192.24","802"
"Colorado","$237.48","2297","$198.62","1882","$224.32","137"
"Connecticut","$347.13","1340","$273.78","1382","$252.88","94"
"Delaware","$372.79","360","$225.52","283","$199.88","34"
"District of Columbia","$349.35","462","$293.71","368","$211.38","40"
"Florida","$306.16","6785","$219.62","5497","$157.12","530"
"Georgia","$331.98","3228","$214.41","2364","$154.46","234"
"Hawaii","$307.73","337","$272.28","366","$162.11","26"
"Idaho","$275.16","326","$257.47","463","$133.75","22"
"Illinois","$356.96","4169","$287.41","3800","$176.48","350"
"Indiana","$336.02","1737","$207.82","1519","$161.44","255"
"Iowa","$369.88","722","$292.3","682","$251.78","105"
"Kansas","$354.93","861","$261.95","664","$113.7","111"
"Kentucky","$338.84","1056","$181.61","1027","$124.83","137"
"Louisiana","$374.54","1129","$242.75","910","$150.16","238"
"Maine","$319.04","470","$260.26","450","$214.8","52"
"Montana","$271.29","600","$251.57","269","$734.65","22"
"Nebraska","$350.38","530","$248.3","528","$142.51","63"
"Nevada","$270.53","934","$219.23","968","$252.49","63"
"New Hampshire","$376.92","449","$286.06","471","$561.24","39"
"New Jersey","$354.95","2316","$292.92","2919","$229.56","196"
"New Mexico","$293.77","585","$205.27","452","$63.7","42"
"New York","$352.38","6035","$268.48","6093","$190.35","496"
"North Carolina","$355.5","2908","$247.61","1993","$151.15","234"
"North Dakota","$408.78","142","$333.35","214","$331.9","15"
"Ohio","$336.68","3174","$213.85","2946","$167.48","413"
"Oklahoma","$364.63","787","$228.69","712","$120.54","134"
"Oregon","$212.47","1672","$188.9","1381","$174.1","64"
"Maryland","$379.15","2051","$249.9","1630","$194.99","154"
"Massachusetts","$353.06","2990","$297.03","2570","$217.65","224"
"Michigan","$298.09","3153","$277.03","2633","$228.04","233"
"Minnesota","$370.27","1781","$278.69","1617","$181.28","103"
"Mississippi","$339.13","427","$148.96","366","$145.96","103"
"Missouri","$367.58","1624","$242.03","1348","$150.74","212"
"Pennsylvania","$371.72","4009","$265.91","3379","$193.3","383"
"Rhode Island","$333.51","545","$260.89","374","$201.75","34"
"South Carolina","$346.37","1205","$202.44","945","$171.2","125"
"South Dakota","$389.9","170","$368.26","173","$125.68","20"
"Tennessee","$357.95","1621","$224.91","1292","$198.11","155"
"Texas","$341.89","6222","$236.15","5947","$142.72","887"
"Utah","$292.75","710","$232.58","713","$168.59","44"
"Vermont","$378.14","286","$322.6","238","$187.64","25"
"Virginia","$373.96","2577","$287.83","2066","$226.35","217"
"Washington","$235.54","2427","$191.38","2458","$155","112"
"West Virginia","$364.28","379","$197.4","388","$158.3","41"
"Wisconsin","$357.74","1693","$270.59","1446","$233.39","133"
"Wyoming","$354.03","94","$378.64","137","$161.3","11"
