"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$341.08","1196","$204.72","1079","$146.22","140"
"Alaska","$287.59","286","$255.81","342","$388.58","26"
"Arizona","$302.73","2144","$208.87","1844","$193.56","250"
"Arkansas","$352.32","655","$183.43","617","$129.26","127"
"California","$246.82","13359","$192.99","14457","$192.06","862"
"Colorado","$237.49","2501","$196.29","2074","$226.75","149"
"Connecticut","$346.21","1433","$275.68","1505","$252.31","95"
"Delaware","$372.03","387","$226.24","315","$206.61","36"
"District of Columbia","$347.33","490","$290.91","405","$216.65","43"
"Florida","$304.88","7423","$218.74","6047","$152.85","573"
"Georgia","$329.51","3487","$215.03","2577","$152.82","249"
"Hawaii","$314.71","364","$276.82","398","$167.62","27"
"Idaho","$275.2","346","$256.27","508","$140.27","26"
"Illinois","$357.69","4490","$286.73","4105","$188.52","373"
"Indiana","$334.89","1877","$209.51","1671","$166.67","268"
"Iowa","$370.63","766","$292.7","745","$247.69","107"
"Kansas","$351.67","932","$262.09","733","$121.53","117"
"Kentucky","$339.33","1152","$183.05","1125","$125.28","146"
"Louisiana","$370.83","1202","$244.63","994","$147.62","256"
"Maine","$319.41","501","$259.23","483","$216.72","56"
"Montana","$269","627","$250.94","296","$660.67","25"
"Nebraska","$345.13","573","$250.38","564","$140.63","67"
"Nevada","$268.13","993","$228.09","1061","$252.49","63"
"New Hampshire","$361.02","478","$290.22","502","$677.38","41"
"New Jersey","$353.12","2461","$291.96","3165","$233.2","214"
"New Mexico","$291.43","628","$213.71","491","$75.24","46"
"New York","$350.25","6370","$266.64","6583","$204.64","521"
"North Carolina","$353.8","3167","$245.92","2200","$151.32","248"
"North Dakota","$401.73","163","$354.34","235","$347.51","17"
"Ohio","$335.8","3400","$215.23","3238","$165.02","439"
"Oklahoma","$364.43","848","$228.79","779","$121.24","151"
"Oregon","$210.91","1778","$186.98","1497","$167.35","71"
"Maryland","$376.86","2216","$250.08","1776","$190.34","165"
"Massachusetts","$350.24","3186","$294.7","2776","$217.88","239"
"Michigan","$295.38","3334","$272.87","2835","$229.02","244"
"Minnesota","$367.67","1910","$277.08","1785","$179.7","104"
"Mississippi","$343.79","467","$147.09","406","$141.71","117"
"Missouri","$368.46","1768","$244.27","1491","$150.52","224"
"Pennsylvania","$369.08","4356","$267.6","3695","$193.1","406"
"Rhode Island","$331.99","580","$259.42","404","$201.75","34"
"South Carolina","$345.34","1304","$202.35","1037","$187.5","137"
"South Dakota","$388.48","178","$353.19","191","$124.17","21"
"Tennessee","$356.72","1749","$226.66","1422","$190.39","172"
"Texas","$340.19","6711","$234.72","6522","$143.14","951"
"Utah","$291.44","760","$242.74","789","$187.19","48"
"Vermont","$376.97","301","$319.78","262","$190.36","26"
"Virginia","$371.74","2745","$287.66","2246","$226.79","229"
"Washington","$234.27","2608","$191.06","2644","$143.67","121"
"West Virginia","$359.56","427","$215.12","418","$160.12","45"
"Wisconsin","$356.46","1800","$270.85","1586","$242.49","140"
"Wyoming","$353.67","101","$374.73","147","$161.3","11"
