"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.54","1152","$203.19","1047","$147.52","134"
"Alaska","$286.78","281","$252.7","329","$388.58","26"
"Arizona","$303.11","2101","$209.61","1788","$195.16","239"
"Arkansas","$356.81","635","$182.99","598","$126.75","125"
"California","$247.28","13083","$192.99","14007","$192.21","842"
"Colorado","$238.07","2422","$197.6","2000","$226.03","146"
"Connecticut","$346.78","1399","$275.63","1468","$252.31","95"
"Delaware","$371.96","378","$227.78","303","$206.61","36"
"District of Columbia","$349.37","482","$293.97","391","$208.53","41"
"Florida","$305.26","7198","$219.87","5856","$152.56","554"
"Georgia","$330.47","3393","$214.28","2492","$151.87","241"
"Hawaii","$307.79","354","$275.36","386","$167.62","27"
"Idaho","$275.98","336","$256.4","494","$129.39","24"
"Illinois","$358.11","4379","$287.35","3982","$176.94","365"
"Indiana","$334.71","1841","$208.44","1611","$168.44","262"
"Iowa","$371.04","756","$291.38","723","$247.69","107"
"Kansas","$351.74","904","$262","712","$122.52","115"
"Kentucky","$337.68","1111","$181.49","1077","$124.72","143"
"Louisiana","$372.59","1175","$242.75","963","$149.14","249"
"Maine","$319.75","487","$258.65","469","$213.48","53"
"Montana","$269.69","617","$251.21","289","$704.89","23"
"Nebraska","$347.91","559","$249.12","555","$141.76","65"
"Nevada","$268.31","966","$217.74","1028","$252.49","63"
"New Hampshire","$369.95","465","$289.57","487","$677.38","41"
"New Jersey","$353.3","2408","$292.06","3071","$231.68","207"
"New Mexico","$290.9","615","$215.43","477","$69.76","43"
"New York","$351.07","6247","$267.53","6408","$189.06","509"
"North Carolina","$354.24","3067","$247.18","2121","$151.27","246"
"North Dakota","$401.98","157","$355.31","230","$363.11","16"
"Ohio","$336.21","3329","$213.79","3133","$166.05","428"
"Oklahoma","$365.24","827","$228.32","753","$118.75","147"
"Oregon","$211.58","1739","$188.71","1456","$171.08","69"
"Maryland","$379.12","2158","$251.1","1727","$191.01","163"
"Massachusetts","$351.83","3118","$295.61","2707","$218.61","234"
"Michigan","$297.26","3264","$273.77","2771","$226.38","240"
"Minnesota","$369.22","1858","$278.01","1721","$179.7","104"
"Mississippi","$340.37","459","$147.56","396","$139.64","114"
"Missouri","$367.47","1718","$243.15","1427","$149.28","219"
"Pennsylvania","$370.08","4242","$266.93","3594","$190.34","395"
"Rhode Island","$331.71","573","$259.43","392","$201.75","34"
"South Carolina","$345.69","1273","$202.96","1002","$192.25","133"
"South Dakota","$387.89","177","$353.22","186","$124.17","21"
"Tennessee","$356.08","1703","$226.86","1376","$192.43","168"
"Texas","$341.53","6539","$235.18","6323","$144.25","936"
"Utah","$292.7","739","$235.09","767","$189.78","47"
"Vermont","$376.96","293","$320.6","257","$190.36","26"
"Virginia","$372.49","2677","$288.26","2184","$225.82","226"
"Washington","$234.61","2541","$191.66","2582","$146.45","118"
"West Virginia","$361.32","405","$216.46","407","$160.38","43"
"Wisconsin","$356.82","1763","$270.18","1527","$240.15","139"
"Wyoming","$352.41","97","$374.52","145","$161.3","11"
