"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.72","1157","$203.72","1053","$147.3","135"
"Alaska","$285.65","283","$254.03","332","$388.58","26"
"Arizona","$302.87","2105","$209.71","1794","$194.12","242"
"Arkansas","$351.98","638","$182.32","603","$126.75","125"
"California","$247.21","13130","$193.01","14074","$192.52","844"
"Colorado","$237.54","2443","$197.92","2012","$226.03","146"
"Connecticut","$346.51","1401","$275.83","1473","$252.31","95"
"Delaware","$371.98","381","$226.91","305","$206.61","36"
"District of Columbia","$349.26","483","$292.99","394","$208.53","41"
"Florida","$305.12","7242","$219.74","5885","$152.66","557"
"Georgia","$330.23","3413","$214.32","2509","$151.87","241"
"Hawaii","$307.79","354","$275.6","388","$167.62","27"
"Idaho","$276.08","340","$256.83","497","$129.39","24"
"Illinois","$357.95","4396","$287.17","4001","$176.52","366"
"Indiana","$334.72","1849","$208.88","1619","$168.09","263"
"Iowa","$371.07","758","$291.01","730","$247.69","107"
"Kansas","$351.66","908","$262.49","715","$121.53","116"
"Kentucky","$338.17","1117","$182.14","1083","$124.72","143"
"Louisiana","$371.9","1181","$242.46","971","$149.14","249"
"Maine","$319.86","490","$258.58","471","$213.48","53"
"Montana","$269.59","618","$251.02","290","$704.89","23"
"Nebraska","$346.99","562","$249.12","555","$140.63","67"
"Nevada","$268.15","969","$217.65","1036","$252.49","63"
"New Hampshire","$370.36","469","$289.98","490","$677.38","41"
"New Jersey","$353.37","2416","$291.94","3086","$231.35","210"
"New Mexico","$290.95","616","$214.97","479","$75.12","44"
"New York","$351.03","6264","$267.52","6437","$190.38","515"
"North Carolina","$354.05","3081","$247.14","2137","$151.27","246"
"North Dakota","$401.44","159","$355.14","231","$363.11","16"
"Ohio","$336.06","3340","$214.03","3151","$165.82","430"
"Oklahoma","$364.4","831","$228.22","759","$118.75","147"
"Oregon","$211.58","1747","$189.08","1462","$171.08","69"
"Maryland","$378.79","2168","$250.61","1737","$191.01","163"
"Massachusetts","$351.55","3130","$295.47","2716","$217.76","235"
"Michigan","$297.13","3275","$273.4","2781","$230.44","242"
"Minnesota","$368.18","1867","$277.71","1732","$179.7","104"
"Mississippi","$340.59","461","$147.19","397","$139.64","114"
"Missouri","$367.56","1731","$243.83","1440","$149.74","220"
"Pennsylvania","$370.02","4260","$266.92","3612","$190.21","398"
"Rhode Island","$331.68","574","$259.21","396","$201.75","34"
"South Carolina","$345.44","1278","$202.75","1005","$192.25","133"
"South Dakota","$388.48","178","$353.22","186","$124.17","21"
"Tennessee","$356.49","1712","$227.08","1385","$191.63","169"
"Texas","$341.56","6562","$235.36","6360","$144.25","937"
"Utah","$292.96","740","$235.11","768","$187.19","48"
"Vermont","$377.05","294","$320.4","258","$190.36","26"
"Virginia","$372.6","2692","$288.2","2196","$225.25","227"
"Washington","$234.57","2558","$191.7","2592","$146.45","118"
"West Virginia","$360.61","406","$216.51","409","$160.38","43"
"Wisconsin","$356.84","1768","$269.77","1534","$240.15","139"
"Wyoming","$355.18","99","$374.52","145","$161.3","11"
