"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.73","1363","$203.74","1215","$147.74","156"
"Alaska","$288.33","321","$261.37","395","$407.31","32"
"Arizona","$301.06","2356","$209.23","2084","$186.63","277"
"Arkansas","$348.3","732","$182.24","704","$126.2","134"
"California","$245.49","14763","$191.7","16368","$189.42","961"
"Colorado","$238.24","2770","$196.78","2371","$227.66","162"
"Connecticut","$342.75","1578","$273.42","1701","$254.19","104"
"Delaware","$367.3","435","$229.91","364","$204.86","39"
"District of Columbia","$345.96","561","$290.33","472","$209.83","47"
"Florida","$302.19","8306","$217.77","6939","$151.98","623"
"Georgia","$327.02","3893","$215.77","2936","$146.08","277"
"Hawaii","$311.57","399","$265.55","452","$174.23","29"
"Idaho","$276.89","385","$249.48","576","$136.89","29"
"Illinois","$355.97","4937","$283.05","4640","$190.55","404"
"Indiana","$333.11","2090","$210.88","1911","$155.43","290"
"Iowa","$367.54","851","$289.22","854","$249.3","112"
"Kansas","$351.08","1021","$261.73","838","$122.23","129"
"Kentucky","$338.3","1292","$181.89","1280","$123.92","163"
"Louisiana","$366.21","1347","$244.91","1147","$143.52","282"
"Maine","$317.73","540","$245.93","560","$272.95","59"
"Montana","$267.03","673","$243.4","327","$588.04","29"
"Nebraska","$342.55","623","$251.09","618","$133.37","73"
"Nevada","$268.77","1095","$228.72","1208","$235.3","75"
"New Hampshire","$358.44","520","$290.37","569","$628.84","45"
"New Jersey","$349.75","2700","$288.17","3554","$227.32","231"
"New Mexico","$290.84","687","$201.4","561","$96.32","57"
"New York","$347.28","6942","$265.89","7443","$209.46","555"
"North Carolina","$350.21","3547","$244.95","2532","$147.89","276"
"North Dakota","$399.42","182","$365.31","267","$335.8","20"
"Ohio","$335.06","3742","$217.41","3677","$166.03","492"
"Oklahoma","$365.78","932","$234.3","908","$120.96","165"
"Oregon","$208.97","1938","$184.55","1688","$175.2","81"
"Maryland","$371.04","2481","$252.06","2057","$187.53","178"
"Massachusetts","$350.34","3560","$289.69","3153","$222.86","263"
"Michigan","$292.29","3609","$276.01","3219","$268.2","266"
"Minnesota","$358.36","2097","$276.93","2066","$186.2","113"
"Mississippi","$336.01","529","$145.27","462","$146.12","128"
"Missouri","$355.44","1956","$245.11","1769","$146.1","268"
"Pennsylvania","$366.6","4824","$267.29","4192","$191.54","445"
"Rhode Island","$323.36","634","$257.84","456","$199.96","40"
"South Carolina","$342.5","1455","$201.15","1187","$187.93","146"
"South Dakota","$377.24","193","$351.15","220","$123.94","22"
"Tennessee","$353.25","1962","$224.76","1607","$185.34","188"
"Texas","$337.81","7339","$232.51","7360","$144.31","1046"
"Utah","$289.44","844","$239.51","902","$204.58","56"
"Vermont","$375.57","327","$318.5","300","$190.36","27"
"Virginia","$368.09","3045","$291.97","2590","$222.4","250"
"Washington","$232.58","2925","$190.08","3038","$138.47","136"
"West Virginia","$353.85","482","$215","464","$148.62","52"
"Wisconsin","$353.34","1965","$271.67","1812","$237.56","145"
"Wyoming","$350.99","113","$359.34","162","$161.3","12"
