"State","HighQ","HighQN","MedQ","MedQN","LowQ","LowQN"
"Alabama","$340.69","1296","$204.4","1168","$144.04","148"
"Alaska","$286.09","307","$253.07","370","$359.87","30"
"Arizona","$302.3","2266","$208.81","1989","$187.18","270"
"Arkansas","$350.87","699","$184.4","657","$127.16","130"
"California","$245.66","14134","$192.29","15533","$190.59","924"
"Colorado","$236.94","2658","$196.48","2249","$231.56","158"
"Connecticut","$344.07","1506","$273.15","1608","$251.03","100"
"Delaware","$368.97","410","$224.85","334","$204.86","39"
"District of Columbia","$346.1","525","$291.13","442","$209.83","47"
"Florida","$303.3","7951","$217.2","6569","$152.37","602"
"Georgia","$327.23","3723","$215.05","2791","$145.28","265"
"Hawaii","$313.64","382","$276.8","432","$165.55","28"
"Idaho","$275.8","366","$252.26","536","$136.89","28"
"Illinois","$356.13","4741","$285.58","4387","$190.94","392"
"Indiana","$334","1993","$210.29","1813","$156.38","281"
"Iowa","$367.37","817","$288.81","803","$247.1","110"
"Kansas","$349.84","985","$260.05","791","$120.31","125"
"Kentucky","$339.39","1229","$182.15","1214","$124.92","158"
"Louisiana","$367.54","1284","$244.22","1082","$144.64","273"
"Maine","$317.83","527","$257.14","526","$274.25","58"
"Montana","$268.13","650","$251.91","315","$632.31","27"
"Nebraska","$343.86","603","$250.8","599","$134.87","72"
"Nevada","$268.21","1047","$229.41","1149","$238.93","69"
"New Hampshire","$359.92","499","$291.24","532","$657.98","43"
"New Jersey","$351.02","2587","$289.82","3368","$224.74","222"
"New Mexico","$289.94","655","$201.63","530","$85.81","52"
"New York","$347.96","6684","$266.14","7033","$205.74","537"
"North Carolina","$351.05","3380","$244.96","2391","$152.35","263"
"North Dakota","$401.38","176","$362.38","252","$348.9","19"
"Ohio","$335.81","3590","$216.59","3486","$162.64","466"
"Oklahoma","$366.89","890","$233.6","846","$119.37","159"
"Oregon","$209.57","1852","$185.17","1602","$163.84","77"
"Maryland","$372.58","2358","$250.24","1934","$187.17","174"
"Massachusetts","$350.77","3385","$293.34","2975","$218.76","248"
"Michigan","$294.77","3485","$277.46","3037","$273.42","257"
"Minnesota","$366.11","2026","$277.88","1937","$181.83","109"
"Mississippi","$337.81","511","$145.68","445","$147.1","122"
"Missouri","$365.1","1872","$244.1","1647","$143.37","258"
"Pennsylvania","$367.27","4605","$267.17","3981","$193.82","434"
"Rhode Island","$328.76","609","$256.61","430","$203.71","38"
"South Carolina","$343.97","1388","$200.81","1113","$190.55","141"
"South Dakota","$383.04","185","$351.01","208","$123.94","22"
"Tennessee","$354.45","1875","$225.12","1522","$187.46","176"
"Texas","$338.53","7062","$233.5","6989","$143.16","1010"
"Utah","$289.27","807","$239.4","851","$208.27","55"
"Vermont","$376.94","316","$320.9","281","$190.36","26"
"Virginia","$369.49","2918","$288.46","2442","$222.77","243"
"Washington","$232.63","2731","$190.04","2830","$142.98","128"
"West Virginia","$356.73","458","$215.35","441","$155.8","49"
"Wisconsin","$354.97","1892","$271.37","1704","$237.56","145"
"Wyoming","$350.72","108","$359.79","158","$161.3","11"
